Año,Trimestre,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,id_provincia
2022,2,109.0,1444.0,45804.0,31217.0,34290.0,14526.0,15394.0,20021.0,162805.0,5
2022,2,99.0,11971.0,160486.0,120485.0,71923.0,28645.0,619400.0,13426.0,1026435.0,6
2022,2,67.0,3937.0,24253.0,24842.0,8001.0,21719.0,55071.0,7107.0,144997.0,7
2022,2,107.0,5656.0,48637.0,48557.0,18512.0,32355.0,98769.0,16759.0,269352.0,8
2022,2,97.0,407.0,23834.0,19706.0,6330.0,591.0,16326.0,590.0,67881.0,9
2022,2,58.0,1829.0,19458.0,15790.0,37786.0,549.0,37391.0,2453.0,115314.0,10
2022,2,68.0,1887.0,62546.0,9842.0,11800.0,5247.0,17125.0,3012.0,111527.0,11
2022,2,18.0,728.0,3179.0,3890.0,23814.0,5481.0,48920.0,0.0,86030.0,12
2022,2,103.0,2954.0,44961.0,22557.0,64138.0,19543.0,121366.0,3940.0,279562.0,13
2022,2,51.0,3808.0,37254.0,21712.0,12774.0,19757.0,75107.0,8350.0,178813.0,14
2022,2,134.0,999.0,38826.0,15066.0,9205.0,2039.0,76982.0,18717.0,161968.0,15
2022,2,111.0,1227.0,33364.0,17938.0,27168.0,13714.0,41972.0,24270.0,159764.0,16
2022,2,114.0,1530.0,33732.0,72661.0,6012.0,1156.0,81478.0,6494.0,203177.0,17
2022,2,24.0,2027.0,30385.0,11276.0,24649.0,3728.0,16701.0,11617.0,100407.0,18
2022,2,60.0,306.0,6840.0,21217.0,11052.0,67438.0,13.0,14815.0,121741.0,19
2022,2,52.0,6841.0,12348.0,11369.0,11885.0,2454.0,3592.0,644.0,49185.0,20
2022,2,468.0,11757.0,138534.0,204381.0,74133.0,58114.0,373888.0,17584.0,878859.0,21
2022,2,178.0,1401.0,29581.0,59931.0,14606.0,883.0,10672.0,792.0,118044.0,22
2022,2,22.0,831.0,12052.0,14828.0,19968.0,1712.0,1006.0,3351.0,53770.0,23
2022,2,39.0,2195.0,34461.0,43513.0,23634.0,4863.0,145541.0,281.0,254527.0,24
2022,1,31591.0,30056.0,313382.0,321756.0,290127.0,161183.0,3381049.0,26280.0,4555424.0,1
2022,1,527.0,5575.0,39918.0,77390.0,61053.0,43289.0,1188072.0,1717.0,1417541.0,2
2022,1,71.0,456.0,4386.0,7009.0,8773.0,3761.0,35715.0,2207.0,62378.0,3
2022,1,461.0,1099.0,16888.0,21235.0,20898.0,13012.0,62946.0,7580.0,144119.0,4
2022,1,113.0,1677.0,61369.0,31856.0,33080.0,13871.0,14055.0,15607.0,171628.0,5
2022,1,100.0,12782.0,165922.0,126009.0,73967.0,34892.0,577027.0,13104.0,1003803.0,6
2022,1,67.0,4029.0,24563.0,25665.0,27077.0,10452.0,43631.0,7094.0,142578.0,7
2022,1,107.0,5745.0,50075.0,49620.0,42294.0,21578.0,81757.0,16750.0,267926.0,8
2022,1,97.0,448.0,24113.0,6945.0,6613.0,716.0,15028.0,588.0,54548.0,9
2022,1,58.0,1761.0,22141.0,16321.0,37923.0,576.0,35287.0,2442.0,116509.0,10
2022,1,301.0,2223.0,62812.0,9869.0,12044.0,5250.0,14400.0,2833.0,109732.0,11
2022,1,18.0,778.0,3576.0,4692.0,23624.0,5645.0,45970.0,0.0,84303.0,12
2022,1,114.0,3355.0,51230.0,26407.0,74178.0,21566.0,95048.0,3287.0,275185.0,13
2022,1,51.0,3873.0,35655.0,22261.0,26855.0,15854.0,58610.0,8349.0,171508.0,14
2022,1,137.0,1123.0,39856.0,15623.0,11163.0,2654.0,71238.0,7885.0,149679.0,15
2022,1,116.0,1383.0,35565.0,18859.0,26926.0,14144.0,37729.0,22652.0,157374.0,16
2022,1,114.0,1725.0,35576.0,68246.0,6313.0,2214.0,76838.0,6489.0,197515.0,17
2022,1,26.0,2269.0,32356.0,11914.0,25144.0,2088.0,11916.0,2465.0,88178.0,18
2022,1,61.0,643.0,8287.0,3837.0,9802.0,68612.0,13.0,28589.0,119844.0,19
2022,1,51.0,6898.0,12710.0,11502.0,12277.0,2628.0,2551.0,485.0,49102.0,20
2022,1,468.0,12435.0,143796.0,208361.0,84787.0,58018.0,344170.0,18444.0,870479.0,21
2022,1,178.0,1401.0,30220.0,61170.0,13542.0,849.0,8309.0,792.0,116461.0,22
2022,1,24.0,894.0,12849.0,15640.0,18034.0,1767.0,982.0,2421.0,52611.0,23
2022,1,39.0,2212.0,36028.0,46961.0,21014.0,5211.0,133846.0,273.0,245584.0,24
2021,4,37821.0,11026.0,352950.0,331292.0,297296.0,196021.0,3259793.0,22958.0,4509157.0,1
2021,4,563.0,1695.0,47133.0,81899.0,66135.0,66755.0,1147939.0,0.0,1412119.0,2
2021,4,71.0,0.0,6038.0,7855.0,9804.0,3262.0,29827.0,2233.0,59090.0,3
2021,4,461.0,112.0,18845.0,22678.0,21937.0,13692.0,58435.0,7585.0,143745.0,4
2021,4,126.0,1294.0,63698.0,39568.0,31175.0,5780.0,2904.0,15763.0,160308.0,5
2021,4,100.0,2479.0,184548.0,130892.0,76246.0,41198.0,538700.0,12607.0,986770.0,6
2021,4,67.0,645.0,28830.0,26368.0,22922.0,10087.0,39911.0,7082.0,135912.0,7
2021,4,107.0,3024.0,56043.0,49636.0,38295.0,24068.0,77290.0,16583.0,265046.0,8
2021,4,84.0,0.0,22908.0,6983.0,6811.0,1135.0,13775.0,1967.0,53663.0,9
2021,4,58.0,175.0,22446.0,16793.0,38134.0,564.0,33421.0,2324.0,113915.0,10
2021,4,301.0,493.0,64840.0,9082.0,12259.0,4821.0,12184.0,3027.0,107007.0,11
2021,4,18.0,1.0,5018.0,5437.0,23559.0,5671.0,43424.0,0.0,83128.0,12
2021,4,156.0,1463.0,66428.0,30308.0,75214.0,18621.0,75031.0,366.0,267587.0,13
2021,4,51.0,5.0,41916.0,23554.0,26721.0,15954.0,54596.0,8335.0,171132.0,14
2021,4,140.0,940.0,42313.0,13264.0,10515.0,3310.0,69217.0,7767.0,147466.0,15
2021,4,156.0,1174.0,38373.0,19878.0,31255.0,4130.0,36142.0,22645.0,153753.0,16
2021,4,114.0,20.0,40673.0,69324.0,6642.0,3535.0,72622.0,6475.0,199405.0,17
2021,4,44.0,1442.0,28906.0,10955.0,23978.0,398.0,9800.0,4435.0,79958.0,18
2021,4,62.0,264.0,8550.0,4276.0,9107.0,67363.0,9.0,29218.0,118849.0,19
2021,4,52.0,297.0,20305.0,11641.0,13054.0,1770.0,876.0,491.0,48486.0,20
2021,4,467.0,581.0,169706.0,206856.0,85690.0,62349.0,322015.0,18777.0,866441.0,21
2021,4,178.0,909.0,31915.0,61524.0,12205.0,800.0,7537.0,793.0,115861.0,22
2021,4,26.0,385.0,13505.0,16534.0,16562.0,1748.0,1017.0,2580.0,52357.0,23
2021,4,39.0,97.0,37321.0,48736.0,21023.0,5326.0,125857.0,240.0,238639.0,24
2021,3,37193.0,31149.0,1108940.0,248153.0,141383.0,192797.0,2482266.0,9728.0,4251609.0,1
2021,3,295.0,603.0,156978.0,67013.0,39785.0,73502.0,1075229.0,0.0,1413405.0,2
2021,3,71.0,0.0,6755.0,8428.0,10517.0,1659.0,26618.0,2206.0,56254.0,3
2021,3,301.0,112.0,22545.0,20986.0,23852.0,14412.0,49705.0,7958.0,139871.0,4
