Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,ID
2022,1,39147.0,91752.0,25178.0,7807.0,7624.0,171508.0,14
2022,1,28443.0,73200.0,24193.0,23098.0,745.0,149679.0,15
2022,1,38662.0,45366.0,38037.0,16815.0,18494.0,157374.0,16
2022,1,44714.0,98667.0,40994.0,5950.0,7190.0,197515.0,17
2022,1,34038.0,14449.0,11294.0,20723.0,7674.0,88178.0,18
2022,1,7987.0,11296.0,31.0,71809.0,28721.0,119844.0,19
2022,1,10537.0,23420.0,10766.0,3974.0,405.0,49102.0,20
2022,1,213486.0,444609.0,146552.0,45261.0,20571.0,870479.0,21
2022,1,18118.0,87979.0,1093.0,6349.0,2922.0,116461.0,22
2022,1,13031.0,38700.0,416.0,124.0,340.0,52611.0,23
2022,1,92532.0,62396.0,86174.0,3995.0,487.0,245584.0,24
2021,4,426325.0,2706506.0,1176024.0,126887.0,73415.0,4509157.0,1
2021,4,111360.0,1205128.0,60005.0,5679.0,29947.0,1412119.0,2
2021,4,16385.0,13858.0,25100.0,1512.0,2235.0,59090.0,3
2021,4,35548.0,63145.0,34688.0,8005.0,2359.0,143745.0,4
2021,4,46361.0,57412.0,9655.0,28041.0,18839.0,160308.0,5
2021,4,212011.0,487489.0,217214.0,61277.0,8779.0,986770.0,6
2021,4,42523.0,71183.0,10138.0,6778.0,5290.0,135912.0,7
2021,4,70459.0,133387.0,23452.0,25022.0,12726.0,265046.0,8
2021,4,17211.0,15111.0,5151.0,16018.0,172.0,53663.0,9
2021,4,22330.0,60511.0,24156.0,2927.0,3991.0,113915.0,10
2021,4,8175.0,58000.0,20192.0,19286.0,1354.0,107007.0,11
2021,4,10387.0,56651.0,9446.0,6613.0,31.0,83128.0,12
2021,4,59842.0,71553.0,109667.0,24666.0,1859.0,267587.0,13
2021,4,41778.0,92068.0,22035.0,7649.0,7602.0,171132.0,14
2021,4,29175.0,72761.0,23253.0,21531.0,746.0,147466.0,15
2021,4,42037.0,44495.0,32212.0,16558.0,18451.0,153753.0,16
2021,4,46972.0,99808.0,39555.0,5882.0,7188.0,199405.0,17
2021,4,35868.0,13102.0,11072.0,11423.0,8493.0,79958.0,18
2021,4,8472.0,11064.0,30.0,70560.0,28723.0,118849.0,19
2021,4,10790.0,22902.0,10031.0,4346.0,417.0,48486.0,20
2021,4,233427.0,444373.0,128856.0,43556.0,16229.0,866441.0,21
2021,4,19032.0,86563.0,1088.0,6256.0,2922.0,115861.0,22
2021,4,13317.0,38148.0,426.0,124.0,342.0,52357.0,23
2021,4,97830.0,59022.0,78790.0,2511.0,486.0,238639.0,24
2021,3,585729.0,2595485.0,885613.0,120228.0,64554.0,4251609.0,1
2021,3,142902.0,1192107.0,42966.0,6059.0,29371.0,1413405.0,2
2021,3,18413.0,11709.0,22331.0,1568.0,2233.0,56254.0,3
2021,3,38258.0,63659.0,27583.0,8018.0,2353.0,139871.0,4
