Año,Trimestre,Banda ancha fija,Dial up,Total,id_provincia
2021,1,140667,501.0,141168,16
2021,1,187572,2.0,187574,17
2021,1,78011,256.0,78267,18
2021,1,119006,148.0,119154,19
2021,1,45868,197.0,46065,20
2021,1,825990,137.0,826127,21
2021,1,111640,1.0,111641,22
2021,1,40133,289.0,40422,23
2021,1,231890,22.0,231912,24
2020,4,4028195,5066.0,4033261,1
2020,4,1378140,1390.0,1379530,2
2020,4,52395,1.0,52396,3
2020,4,139088,3.0,139091,4
2020,4,129749,825.0,130574,5
2020,4,902646,55.0,902701,6
2020,4,125656,3.0,125659,7
2020,4,247368,13.0,247381,8
2020,4,50206,0.0,50206,9
2020,4,105851,0.0,105851,10
2020,4,96779,116.0,96895,11
2020,4,52775,3.0,52778,12
2020,4,214838,615.0,215453,13
2020,4,147161,0.0,147161,14
2020,4,132762,373.0,133135,15
2020,4,140709,501.0,141210,16
2020,4,187388,2.0,187390,17
2020,4,72340,256.0,72596,18
2020,4,119287,148.0,119435,19
2020,4,40477,197.0,40674,20
2020,4,820676,137.0,820813,21
2020,4,106668,1.0,106669,22
2020,4,39325,289.0,39614,23
2020,4,231067,22.0,231089,24
2020,3,3932211,5066.0,3937277,1
2020,3,1371285,1390.0,1372675,2
2020,3,49903,1.0,49904,3
2020,3,133951,3.0,133954,4
2020,3,129202,825.0,130027,5
2020,3,867417,55.0,867472,6
2020,3,123388,3.0,123391,7
2020,3,241482,13.0,241495,8
2020,3,49209,0.0,49209,9
2020,3,106728,0.0,106728,10
2020,3,93619,116.0,93735,11
2020,3,52613,3.0,52616,12
2020,3,207173,615.0,207788,13
2020,3,143186,0.0,143186,14
2020,3,128862,373.0,129235,15
2020,3,130966,501.0,131467,16
2020,3,180844,2.0,180846,17
2020,3,77071,256.0,77327,18
2020,3,116417,148.0,116565,19
2020,3,39084,197.0,39281,20
2020,3,802861,137.0,802998,21
2020,3,105491,1.0,105492,22
2020,3,39366,289.0,39655,23
2020,3,223854,22.0,223876,24
2020,2,3772480,5066.0,3777546,1
2020,2,1356431,1390.0,1357821,2
2020,2,47975,1.0,47976,3
2020,2,128129,3.0,128132,4
2020,2,107831,825.0,108656,5
2020,2,836413,55.0,836468,6
