Año,Trimestre,Provincia,Accesos por cada 100 hogares
2020,4,Neuquén,67.0
2020,4,Río Negro,61.09
2020,4,Salta,54.04
2020,4,San Juan,36.32
2020,4,San Luis,81.68
2020,4,Santa Cruz,37.0
2020,4,Santa Fe,73.58
2020,4,Santiago Del Estero,43.75
2020,4,Tierra Del Fuego,76.27
2020,4,Tucumán,54.78
2020,3,Buenos Aires,67.66
2020,3,Capital Federal,107.68
2020,3,Catamarca,47.16
2020,3,Chaco,41.54
2020,3,Chubut,68.34
2020,3,Córdoba,75.22
2020,3,Corrientes,41.75
2020,3,Entre Ríos,58.19
2020,3,Formosa,31.91
2020,3,Jujuy,54.04
2020,3,La Pampa,79.26
2020,3,La Rioja,50.12
2020,3,Mendoza,37.35
2020,3,Misiones,41.6
2020,3,Neuquén,65.24
2020,3,Río Negro,57.05
2020,3,Salta,52.32
2020,3,San Juan,38.79
2020,3,San Luis,79.96
2020,3,Santa Cruz,35.95
2020,3,Santa Fe,72.12
2020,3,Santiago Del Estero,43.38
2020,3,Tierra Del Fuego,76.81
2020,3,Tucumán,53.23
2020,2,Buenos Aires,65.22
2020,2,Capital Federal,106.41
2020,2,Catamarca,45.43
2020,2,Chaco,39.83
2020,2,Chubut,57.34
2020,2,Córdoba,72.71
2020,2,Corrientes,40.3
2020,2,Entre Ríos,56.54
2020,2,Formosa,31.14
2020,2,Jujuy,47.89
2020,2,La Pampa,76.1
2020,2,La Rioja,49.84
2020,2,Mendoza,36.25
2020,2,Misiones,40.89
2020,2,Neuquén,63.9
2020,2,Río Negro,56.37
2020,2,Salta,51.58
2020,2,San Juan,35.09
2020,2,San Luis,78.41
2020,2,Santa Cruz,35.79
2020,2,Santa Fe,70.0
2020,2,Santiago Del Estero,43.47
2020,2,Tierra Del Fuego,76.37
2020,2,Tucumán,51.78
2020,1,Buenos Aires,64.33
2020,1,Capital Federal,105.98
2020,1,Catamarca,37.62
2020,1,Chaco,37.48
2020,1,Chubut,51.27
2020,1,Córdoba,70.69
2020,1,Corrientes,38.73
2020,1,Entre Ríos,56.12
2020,1,Formosa,30.23
2020,1,Jujuy,46.67
2020,1,La Pampa,75.77
2020,1,La Rioja,46.35
2020,1,Mendoza,33.14
2020,1,Misiones,39.02
2020,1,Neuquén,61.85
2020,1,Río Negro,55.12
2020,1,Salta,49.6
2020,1,San Juan,32.39
2020,1,San Luis,76.31
2020,1,Santa Cruz,35.97
2020,1,Santa Fe,69.52
2020,1,Santiago Del Estero,42.47
2020,1,Tierra Del Fuego,76.07
2020,1,Tucumán,47.85
2019,4,Buenos Aires,64.25
2019,4,Capital Federal,106.25
2019,4,Catamarca,36.44
2019,4,Chaco,36.84
2019,4,Chubut,51.15
2019,4,Córdoba,70.48
2019,4,Corrientes,38.77
2019,4,Entre Ríos,57.99
2019,4,Formosa,30.47
2019,4,Jujuy,45.38
2019,4,La Pampa,76.92
2019,4,La Rioja,47.14
2019,4,Mendoza,33.65
2019,4,Misiones,39.79
2019,4,Neuquén,59.36
2019,4,Río Negro,55.71
2019,4,Salta,50.35
2019,4,San Juan,32.85
2019,4,San Luis,74.92
2019,4,Santa Cruz,36.71
2019,4,Santa Fe,69.48
2019,4,Santiago Del Estero,42.92
2019,4,Tierra Del Fuego,79.7
2019,4,Tucumán,47.65
2019,3,Buenos Aires,69.36
2019,3,Capital Federal,112.65
2019,3,Catamarca,30.88
2019,3,Chaco,35.85
2019,3,Chubut,47.57
2019,3,Córdoba,68.59
2019,3,Corrientes,38.49
2019,3,Entre Ríos,57.9
2019,3,Formosa,30.11
2019,3,Jujuy,44.32
2019,3,La Pampa,77.45
2019,3,La Rioja,47.94
2019,3,Mendoza,40.74
2019,3,Misiones,39.33
2019,3,Neuquén,64.14
2019,3,Río Negro,63.42
2019,3,Salta,44.48
2019,3,San Juan,37.06
2019,3,San Luis,85.23
2019,3,Santa Cruz,35.63
2019,3,Santa Fe,68.87
2019,3,Santiago Del Estero,55.3
2019,3,Tierra Del Fuego,96.46
2019,3,Tucumán,39.49
2019,2,Buenos Aires,67.85
2019,2,Capital Federal,110.55
2019,2,Catamarca,32.13
2019,2,Chaco,34.14
2019,2,Chubut,46.99
2019,2,Córdoba,68.07
2019,2,Corrientes,38.16
2019,2,Entre Ríos,57.48
2019,2,Formosa,30.42
2019,2,Jujuy,44.51
2019,2,La Pampa,77.08
2019,2,La Rioja,48.7
2019,2,Mendoza,40.75
2019,2,Misiones,39.15
2019,2,Neuquén,63.08
2019,2,Río Negro,61.09
2019,2,Salta,41.89
2019,2,San Juan,35.6
2019,2,San Luis,81.79
2019,2,Santa Cruz,28.85
2019,2,Santa Fe,67.42
2019,2,Santiago Del Estero,52.79
2019,2,Tierra Del Fuego,94.8
2019,2,Tucumán,40.14
2019,1,Buenos Aires,66.24
2019,1,Capital Federal,109.2
2019,1,Catamarca,32.19
2019,1,Chaco,32.64
2019,1,Chubut,43.0
2019,1,Córdoba,65.52
2019,1,Corrientes,35.13
2019,1,Entre Ríos,56.79
2019,1,Formosa,29.68
2019,1,Jujuy,46.41
2019,1,La Pampa,76.35
2019,1,La Rioja,50.18
2019,1,Mendoza,37.66
2019,1,Misiones,36.26
2019,1,Neuquén,58.88
2019,1,Río Negro,53.57
2019,1,Salta,40.1
2019,1,San Juan,31.83
2019,1,San Luis,67.34
2019,1,Santa Cruz,23.67
2019,1,Santa Fe,66.97
2019,1,Santiago Del Estero,37.52
2019,1,Tierra Del Fuego,93.38
