Año,Trimestre,Provincia,Otros,"0,256 Mbps","0,375 Mbps","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps","10,6 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,27 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,47 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps",51 Mbps,"50,25 Mbps",52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps
2022,4,Salta,6747,,,,41.0,73,1,1196,,,,1537,,,,6.806,,,8,8242,,4858,10079,,303,,6872,,63.93,,,,72,,,,2032,,,4,,2927,,,,,11,1,,,,,1,,,120,,,,,,,,,74,,,,,,,28164,,,,,,,,,,,,,,,,,,,,,,
2022,4,San Juan,11840,,,,21.0,3,723,1304,,,,1398,,,,11.491,,,11509,860,,2062,2749,,1136,,9391,28,692.0,,,,8892,,,,10662,,,,,886,,,,,6748,811,,,,,,,,10700,,,,,,,,,3,,,,,,,9500,,,,,,,,,,1,,,,,,,,,,,,
2022,4,San Luis,3353,,,,59.0,1,163,461,,,,491,,,,2.78,,,1418,,,319,6777,,94,,2622,504,21.464,,,,10615,,,,1836,,,,,1530,,,,,,78376,,,,,,,,132,,,,,,,,,35,,,3,,,,470,,,,,,,,,,,,,,,,,,,,,,
2022,4,Santa Cruz,1048,3,,,26.0,22,218,6592,,,,2106,,,,2.535,,,2001,826,,1840,2308,,16,,2324,9,9.16,,,,2317,,,,4388,,,725,,2944,,,,,92,911,,,,,,,,2240,,,,516,,,,,34,,,,,,,4626,,,,,,,,,,,,,,,,,,,,,166,
2022,4,Santa Fe,18340,32,,,335.0,101,5,9369,,,,9620,,,,33.069,,,172,5862,,21980,45064,,5727,,10235,1441,177.017,,,,3200,,135,,19066,60,,8,,50876,,,,,39,8787,,,,,,,,14216,,,,17,18,,2,,936,,81,,,,,128781,,4,,,,,,,,303,,,,,,,,,,,51,
2022,4,Santiago Del Estero,989,,,,39.0,139,908,359,,,307,380,,,,10.355,,,,1220,,419,13502,,1346,,86,,56.704,,,,13163,,,,533,,,,,4039,,,,,,18,,,,,,,,643,,,,,,,,,36,,,,,,,935,,,,,,,,,,,,,,,,,,,,,,
2022,4,Tierra Del Fuego,2264,,,,11.0,11,318,584,,,,1,,,,462.0,,,3740,2004,,410,5032,,,,8890,9,4.735,,,,12055,,,,8957,,,257,,96,,,,,187,3154,,,,,,,,306,,,,87,,,,,96,,,,,,,1126,,,,,,,,,,48,,,,,,,,,,,,
2022,4,Tucumán,15118,,,,19.0,20,,1562,,,,118,,,,7.621,,,2271,347,,1200,18439,,157,,146,123,34.999,,,,12087,,1,,2260,,,,,12021,,,1,,138,115,,,,,,,,1121,,,,2,,,,,3,,,,,,,59442,,,,,,,,,,1,,,,,,,,,1,,,
2022,3,Buenos Aires,97634,18,0,0,28724.0,192,4611,18736,0,0,141,21152,0,26,0,53034.0,0,0,41976,14269,65,32973,96230,0,10945,984,64913,517,204191.0,,0,10,22677,,212,44,85876,258,2,161,0,135315,0,3,1,18,88,40387,0,0,0,0,0,0,0,777236,1610,16,1,1365,4,0,0,0,3790,9,0,0,0,777,1,463798,0,0,0,0,0,113,0,1,59,435439,78,1,0,0,14,0,0,0,5655,0,90796,0
2022,3,Capital Federal,106772,31,0,0,451.0,34,1307,3789,0,0,0,286,0,0,0,3564.0,0,0,11975,991,0,3427,11077,0,7,0,16652,3,47991.0,,0,5,12,,0,0,29692,5,0,0,0,6622,0,1,0,0,0,2370,0,0,0,0,0,0,0,58801,0,0,0,9,0,0,0,30,122,0,0,0,0,0,0,76732,0,0,0,0,0,1,0,0,0,105156,0,0,0,0,0,1,0,0,15,0,28406,0
