Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,Tres De Febrero,Jose Ingenieros,6840010,115,1900,0,547,3,0,0,5,2570
BUENOS AIRES,Tres De Febrero,Loma Hermosa,6840010,992,5687,0,55,18,0,0,0,6752
BUENOS AIRES,Tres De Febrero,Martín Coronado,6840010,188,5052,1,2678,6,0,0,0,7925
BUENOS AIRES,Tres De Febrero,Pablo Podestá,6840010,1504,3407,0,7,12,0,0,438,5368
BUENOS AIRES,Tres De Febrero,Remedios De Escalada,6840010,113,2811,0,8174,16,0,0,0,11114
BUENOS AIRES,Tres De Febrero,Saenz Peña,6840010,229,5106,0,969,0,1,0,1,6306
BUENOS AIRES,Tres De Febrero,Santos Lugares,6840010,326,6250,0,1328,8,0,0,1,7913
BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),6840010,228,7239,0,5799,3,0,0,0,13269
BUENOS AIRES,Tres De Febrero,Villa Raffo,6840010,135,2025,0,656,3,0,0,0,2819
BUENOS AIRES,Tres Lomas,Tres Lomas,6847020,93,724,1,136,319,0,0,94,1367
BUENOS AIRES,Vicente López,Carapachay,6861010,861,5304,1,2132,2,0,0,0,8300
BUENOS AIRES,Vicente López,Florida,6861010,1575,14248,2,6952,6,0,0,2,22785
BUENOS AIRES,Vicente López,Florida Oeste,6861010,2,5489,0,3278,5,1,0,245,9020
BUENOS AIRES,Vicente López,La Lucila,6861010,303,4099,1,1373,1,0,0,0,5777
BUENOS AIRES,Vicente López,Munro,6861010,616,9214,8,5756,10,1,0,1,15606
BUENOS AIRES,Vicente López,Olivos,6861010,1312,23636,5,9944,10,1,0,0,34908
BUENOS AIRES,Vicente López,Vicente López,6861010,288,9696,3,3490,17,0,0,1,13495
BUENOS AIRES,Vicente López,Villa Adelina,6861010,0,568,0,1135,0,0,0,0,1703
BUENOS AIRES,Vicente López,Villa Martelli,6861010,904,5337,1,5010,3,1,0,375,11631
BUENOS AIRES,Villa Gesell,Villa Gesell,6868020,5674,0,0,5688,110,0,0,0,11472
BUENOS AIRES,Villarino,Juan Cousté  (Est. Algarrobo),6875040,0,0,2,0,0,0,0,82,84
BUENOS AIRES,Villarino,Mayor Buratovich,6875050,134,0,0,499,0,0,0,0,633
BUENOS AIRES,Villarino,Médanos,6875060,417,375,2,0,0,0,0,103,897
BUENOS AIRES,Villarino,Pedro Luro,6875070,393,582,0,1664,1,0,0,550,3190
BUENOS AIRES,Villarino,Argerich,6875010,0,0,0,0,0,0,0,31,31
BUENOS AIRES,Villarino,Teniente Origone,6875080,0,0,0,0,0,0,0,16,16
BUENOS AIRES,Villarino,Country Los Medanos,6875025,0,0,0,0,0,0,0,267,267
BUENOS AIRES,Zárate,Lima,6882040,1,0,0,1,0,4,0,0,6
BUENOS AIRES,Zárate,Zárate,6882050,1941,25557,0,970,700,5,0,1525,30698
BUENOS AIRES,AMBA,OTROS,Sin Datos,0,0,0,0,0,0,0,13,13
CABA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000010,138753,1238196,2145,138548,29586,95,0,4603,1551926
CATAMARCA,Ambato,El Bolsón,10007030,0,0,0,0,0,2,0,0,2
CATAMARCA,Ambato,El Rodeo,10007040,0,0,0,0,0,1,0,152,153
CATAMARCA,Ambato,La Puerta,10007060,0,0,0,0,0,5,0,0,5
CATAMARCA,Ambato,Las Chacritas,10007070,0,0,0,0,0,1,0,0,1
CATAMARCA,Ambato,Los Varela,10007110,0,0,0,0,0,1,0,0,1
CATAMARCA,Ambato,Los Talas,10007100,0,0,0,0,0,0,0,66,66
CATAMARCA,Ancasti,Ancasti,10014010,0,0,0,0,0,1,0,0,1
CATAMARCA,Andalgalá,Andalgalá,10021020,821,0,0,144,1,2,0,203,1171
CATAMARCA,Andalgalá,Chaquiago,10021030,0,0,0,9,0,1,0,14,24
CATAMARCA,Andalgalá,El Potrero,10021070,0,0,0,13,0,0,0,0,13
CATAMARCA,Andalgalá,Aconquija,10021010,0,0,0,0,0,1,0,0,1
CATAMARCA,Andalgalá,El Alamito,10021050,0,0,0,0,0,0,0,20,20
CATAMARCA,Andalgalá,La Aguada,10021080,0,0,0,11,0,0,0,5,16
CATAMARCA,Andalgalá,La Mesada,10021010,0,0,0,1,0,0,0,0,1
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,10028010,0,0,0,0,0,10,0,0,10
CATAMARCA,Belén,Belén,10035020,0,0,0,0,0,6,0,30,36
CATAMARCA,Belén,Hualfín,10035070,0,0,0,0,0,1,0,0,1
CATAMARCA,Belén,Londres,10035110,0,0,0,0,0,1,0,20,21
CATAMARCA,Belén,El Durazno,10035050,0,0,0,0,0,2,0,0,2
CATAMARCA,Belén,Las Juntas,10035100,0,0,0,0,0,0,0,5,5
CATAMARCA,Capayán,Capayán,10042030,0,0,0,0,0,1,0,0,1
CATAMARCA,Capayán,Chumbicha,10042040,136,0,0,5,0,1,0,474,616
CATAMARCA,Capayán,Colonia del Valle,10042050,0,0,0,0,0,1,0,0,1
CATAMARCA,Capayán,Colonia Nueva Coneta,10042060,0,0,0,10,0,1,0,9,20
CATAMARCA,Capayán,Coneta,10042080,0,0,0,10,0,1,0,0,11
CATAMARCA,Capayán,Huillapima,10042100,0,0,0,5,0,2,0,9,16
CATAMARCA,Capayán,Miraflores,10042120,0,0,0,7,0,2,0,10,19
CATAMARCA,Capayán,San Martín,10042130,0,0,0,0,0,7,0,0,7
CATAMARCA,Capayán,Los Angeles,10042110,0,0,0,0,0,0,0,5,5
CATAMARCA,Capital,El Pantanillo,10049020,5,21,0,2,0,2,0,0,30
CATAMARCA,Capital,San Fernando del Valle de Catamarca,10049030,7262,10964,1,39895,0,1,0,14,58137
CATAMARCA,El Alto,El Alto,10056010,0,0,0,0,0,1,0,28,29
CATAMARCA,El Alto,Tapso,10056050,0,0,0,0,0,1,0,0,1
CATAMARCA,La Paz,Icaño,10070070,0,0,0,0,0,1,0,0,1
CATAMARCA,La Paz,Recreo,10070140,171,13,0,1561,0,1,0,5,1751
CATAMARCA,La Paz,San Antonio,10070150,0,0,0,0,0,0,0,26,26
CATAMARCA,La Paz,Quirós,10070120,0,0,0,0,0,0,0,27,27
CATAMARCA,Paclín,La Merced,10077050,71,0,0,0,0,4,0,5,80
CATAMARCA,Paclín,La Viña,10077060,0,0,0,0,0,0,0,10,10
CATAMARCA,Paclín,Las Lajas,10077070,0,0,0,0,0,1,0,0,1
CATAMARCA,Paclín,San Antonio,10077100,0,0,0,0,0,1,0,7,8
CATAMARCA,Pomán,Mutquin,10084060,0,0,0,0,0,1,0,0,1
CATAMARCA,Pomán,Pomán,10084070,0,0,0,0,0,2,0,0,2
CATAMARCA,Pomán,San Miguel,10084090,0,0,0,0,0,0,0,7,7
CATAMARCA,Pomán,Saujil,10084100,0,0,0,0,0,1,0,169,170
CATAMARCA,Pomán,Siján,10084110,0,0,0,0,0,1,0,0,1
CATAMARCA,Pomán,Colpes,10084030,0,0,0,0,0,0,0,16,16
CATAMARCA,Santa María,La Loma,10091100,0,0,0,0,0,1,0,0,1
CATAMARCA,Santa María,San José,10091140,0,0,0,0,0,1,0,0,1
CATAMARCA,Santa María,Santa María,10091150,0,0,0,0,2151,1,0,0,2152
CATAMARCA,Santa Rosa,Alijilán,10098010,0,0,0,0,0,2,0,0,2
CATAMARCA,Santa Rosa,Bañado de Ovanta,10098020,0,0,0,0,0,1,0,0,1
CATAMARCA,Santa Rosa,Lavalle,10098040,0,0,0,0,0,1,0,0,1
CATAMARCA,Santa Rosa,Los Altos,10098050,0,0,0,0,0,1,0,6,7
CATAMARCA,Tinogasta,Fiambalá,10105110,0,0,0,8,0,3,0,7,18
