Año,Trimestre,Provincia,Mbps (Media de bajada)
2021,4,Catamarca,46.380057758939095
2021,4,Chaco,42.342637514688604
2021,4,Chubut,9.082660638555467
2021,4,Córdoba,46.36090745799214
2021,4,Corrientes,35.772659194287044
2021,4,Entre Ríos,33.31712584167462
2021,4,Formosa,28.75764894769421
2021,4,Jujuy,27.144343038417077
2021,4,La Pampa,13.853882842854395
2021,4,La Rioja,39.69594513667998
2021,4,Mendoza,22.23158340100516
2021,4,Misiones,38.903349250907574
2021,4,Neuquén,40.092530111167584
2021,4,Río Negro,27.20317045489215
2021,4,Salta,33.940639744985226
2021,4,San Juan,11.052749308157779
2021,4,San Luis,20.90972444801464
2021,4,Santa Cruz,8.990650984477549
2021,4,Santa Fe,36.024023837275145
2021,4,Santiago Del Estero,13.84088684951507
2021,4,Tierra Del Fuego,10.696704944050465
2021,4,Tucumán,45.14812243339947
2021,3,Buenos Aires,56.25755092469591
2021,3,Capital Federal,77.71207106907312
2021,3,Catamarca,43.43333599763174
2021,3,Chaco,39.113135809207584
2021,3,Chubut,8.176860363136605
2021,3,Córdoba,41.92778724566202
2021,3,Corrientes,32.16890082785829
2021,3,Entre Ríos,29.60123187949277
2021,3,Formosa,26.689426784946654
2021,3,Jujuy,25.980702520297545
2021,3,La Pampa,12.99161507240359
2021,3,La Rioja,38.86795185445044
2021,3,Mendoza,13.365156173184467
2021,3,Misiones,30.87871831426499
2021,3,Neuquén,38.34222315428742
2021,3,Río Negro,25.400065197148727
2021,3,Salta,31.209681857038827
2021,3,San Juan,7.041300820394967
2021,3,San Luis,21.69870707116376
2021,3,Santa Cruz,7.692326941812981
2021,3,Santa Fe,33.13229624738131
2021,3,Santiago Del Estero,13.352723533519553
2021,3,Tierra Del Fuego,9.52
2021,3,Tucumán,42.10118530571482
2021,2,Buenos Aires,52.75542937003713
2021,2,Capital Federal,72.74675003231476
2021,2,Catamarca,42.18506376779111
2021,2,Chaco,37.396909596222066
2021,2,Chubut,7.67690621713348
2021,2,Córdoba,39.59011648994794
2021,2,Corrientes,30.368054802005656
2021,2,Entre Ríos,27.61897306203556
2021,2,Formosa,23.96630452806761
2021,2,Jujuy,25.812477856862227
2021,2,La Pampa,12.27922373804818
2021,2,La Rioja,38.534894383007746
2021,2,Mendoza,13.465987205003026
2021,2,Misiones,28.682221735396933
2021,2,Neuquén,36.10972145846688
2021,2,Río Negro,23.748446681442676
2021,2,Salta,29.239354220742428
2021,2,San Juan,6.993162601626016
2021,2,San Luis,21.66188998963924
2021,2,Santa Cruz,7.629667005202396
2021,2,Santa Fe,30.7018831645519
2021,2,Santiago Del Estero,12.718797838683303
2021,2,Tierra Del Fuego,8.591921426483484
2021,2,Tucumán,40.30992032851357
2021,1,Buenos Aires,50.78565608506508
2021,1,Capital Federal,68.29026886796898
2021,1,Catamarca,39.96652623965282
2021,1,Chaco,33.6262012999863
2021,1,Chubut,7.531527409144197
2021,1,Córdoba,36.168799328437636
2021,1,Corrientes,25.985171359720066
2021,1,Entre Ríos,23.871334373183572
2021,1,Formosa,20.980327506975218
2021,1,Jujuy,26.777362312404005
2021,1,La Pampa,10.728511929531797
2021,1,La Rioja,12.697554732181876
2021,1,Mendoza,12.599361245254226
2021,1,Misiones,25.076826126081443
2021,1,Neuquén,34.23850264753642
2021,1,Río Negro,21.923906760830956
2021,1,Salta,27.31884069404982
2021,1,San Juan,6.910089995382067
2021,1,San Luis,21.594379804710776
2021,1,Santa Cruz,7.501531847531764
2021,1,Santa Fe,28.130630073152936
2021,1,Santiago Del Estero,11.584174516498134
2021,1,Tierra Del Fuego,8.734752396277898
2021,1,Tucumán,37.97961958190828
2020,4,Buenos Aires,50.008380839635755
2020,4,Capital Federal,67.32513676879374
2020,4,Catamarca,37.6500877273544
2020,4,Chaco,32.45204676418101
2020,4,Chubut,7.383087626414736
2020,4,Córdoba,35.120601241883946
2020,4,Corrientes,25.446700896630592
2020,4,Entre Ríos,24.05327825306045
2020,4,Formosa,19.6983490087788
2020,4,Jujuy,25.20639328416149
2020,4,La Pampa,9.875605170860927
2020,4,La Rioja,12.534655980598345
2020,4,Mendoza,11.093171319457166
2020,4,Misiones,24.956617779680364
2020,4,Neuquén,33.90786486677393
2020,4,Río Negro,21.636719189849995
2020,4,Salta,25.322439650744734
2020,4,San Juan,6.412867397953183
2020,4,San Luis,21.252954082189127
2020,4,Santa Cruz,7.492108628119051
2020,4,Santa Fe,27.294352446215623
2020,4,Santiago Del Estero,11.280765527511996
2020,4,Tierra Del Fuego,8.486806949337868
2020,4,Tucumán,36.442246829152964
2020,3,Buenos Aires,48.37662390811511
2020,3,Capital Federal,63.80852025607172
2020,3,Catamarca,36.540436607329845
2020,3,Chaco,30.802726948564217
2020,3,Chubut,7.402074441844787
2020,3,Córdoba,33.51119497419789
2020,3,Corrientes,23.851523971242955
2020,3,Entre Ríos,22.432598646206184
2020,3,Formosa,18.282832069430402
2020,3,Jujuy,21.910419686869954
2020,3,La Pampa,10.697630905402091
2020,3,La Rioja,12.194703767058197
2020,3,Mendoza,10.18749103459563
2020,3,Misiones,24.141761872521517
2020,3,Neuquén,31.46090402703376
2020,3,Río Negro,21.077778703258762
2020,3,Salta,25.261155924027737
2020,3,San Juan,6.027864793582682
2020,3,San Luis,20.84992813378867
2020,3,Santa Cruz,6.649363712026633
2020,3,Santa Fe,25.690941341268072
2020,3,Santiago Del Estero,10.879017270659741
2020,3,Tierra Del Fuego,8.506676055475614
2020,3,Tucumán,34.835801698615526
2020,2,Buenos Aires,45.66197363212277
2020,2,Capital Federal,60.4844973584038
2020,2,Catamarca,34.92595642857143
2020,2,Chaco,27.952284674364286
2020,2,Chubut,7.605487984559083
2020,2,Córdoba,30.987577637139466
2020,2,Corrientes,22.15030606257576
2020,2,Entre Ríos,20.448621178442586
2020,2,Formosa,16.870258993114398
2020,2,Jujuy,15.864013631862552
2020,2,La Pampa,8.028862255598405
2020,2,La Rioja,11.669110961977259
2020,2,Mendoza,9.274562732094155
2020,2,Misiones,22.560122617583183
2020,2,Neuquén,29.100147623878513
2020,2,Río Negro,19.679596047283173
2020,2,Salta,22.55853618795662
2020,2,San Juan,6.308614963196474
2020,2,San Luis,21.02062693689071
2020,2,Santa Cruz,6.593202418178028
2020,2,Santa Fe,23.925791608984095
2020,2,Santiago Del Estero,10.411619106122004
2020,2,Tierra Del Fuego,8.128329395457266
2020,2,Tucumán,32.70453443718797
2020,1,Buenos Aires,45.18128807375552
2020,1,Capital Federal,58.70568296242247
2020,1,Catamarca,29.132225012939607
2020,1,Chaco,25.942049334121737
2020,1,Chubut,7.117047781865397
2020,1,Córdoba,29.394787835061326
2020,1,Corrientes,20.538999274943325
2020,1,Entre Ríos,19.029765335057498
2020,1,Formosa,15.697352607415109
2020,1,Jujuy,14.14492205715465
2020,1,La Pampa,7.291757720474826
2020,1,La Rioja,7.962418947150687
2020,1,Mendoza,8.440867710216997
2020,1,Misiones,22.148213068436263
2020,1,Neuquén,27.76828207897622
2020,1,Río Negro,19.06030056406124
2020,1,Salta,21.425047243902736
2020,1,San Juan,6.036984591484099
2020,1,San Luis,20.989379744282658
2020,1,Santa Cruz,6.417170627364028
2020,1,Santa Fe,22.42405677003625
2020,1,Santiago Del Estero,10.00053908049476
2020,1,Tierra Del Fuego,7.410865837696335
2020,1,Tucumán,32.24553094303289
2019,4,Buenos Aires,30.769694141005864
2019,4,Capital Federal,44.203178670085876
2019,4,Catamarca,24.878307670462615
2019,4,Chaco,23.37495080016229
2019,4,Chubut,6.994113523445059
2019,4,Córdoba,26.16228061451293
2019,4,Corrientes,19.255411607971407
2019,4,Entre Ríos,17.007580897657125
2019,4,Formosa,14.525629551519327
2019,4,Jujuy,12.959200042804211
2019,4,La Pampa,6.526152195693043
2019,4,La Rioja,8.000880364029628
2019,4,Mendoza,7.785200889987086
2019,4,Misiones,20.32034743574273
2019,4,Neuquén,26.01988431478295
2019,4,Río Negro,17.17699897385603
2019,4,Salta,19.08357302283381
2019,4,San Juan,6.040171698468491
2019,4,San Luis,20.690353422143115
2019,4,Santa Cruz,5.207925064069708
2019,4,Santa Fe,20.54719701980728
2019,4,Santiago Del Estero,9.792201844355846
2019,4,Tierra Del Fuego,7.27
2019,4,Tucumán,29.87038932431276
2019,3,Buenos Aires,25.679380143834067
2019,3,Capital Federal,38.71410056071139
2019,3,Catamarca,9.293407429459826
2019,3,Chaco,19.994668122685404
2019,3,Chubut,6.966323588474291
2019,3,Córdoba,23.193402364939846
2019,3,Corrientes,16.69992255090861
2019,3,Entre Ríos,14.69513286650061
2019,3,Formosa,13.22353748406198
2019,3,Jujuy,11.968240929924347
2019,3,La Pampa,5.719666464891041
2019,3,La Rioja,8.002375296912113
2019,3,Mendoza,6.10822854552147
2019,3,Misiones,17.931522461372833
2019,3,Neuquén,23.74841515996666
2019,3,Río Negro,15.983718503999242
2019,3,Salta,14.746465244455523
2019,3,San Juan,6.038229508650902
2019,3,San Luis,19.743826982349614
2019,3,Santa Cruz,5.017746940956451
2019,3,Santa Fe,18.165529686687883
2019,3,Santiago Del Estero,9.389413131426359
2019,3,Tierra Del Fuego,6.690701380143412
2019,3,Tucumán,19.323994794580525
2019,2,Buenos Aires,22.480046018557395
2019,2,Capital Federal,30.346259857091994
2019,2,Catamarca,8.81
2019,2,Chaco,16.01024333099657
2019,2,Chubut,6.054406893543786
2019,2,Córdoba,18.43151783191278
2019,2,Corrientes,13.833035083816176
2019,2,Entre Ríos,12.193357817950574
2019,2,Formosa,10.836611219480826
2019,2,Jujuy,12.073382280507326
2019,2,La Pampa,5.492288321417966
2019,2,La Rioja,7.894163486005089
2019,2,Mendoza,6.02629690452623
2019,2,Misiones,14.50130254739236
2019,2,Neuquén,17.242865250195976
2019,2,Río Negro,11.628050204319907
2019,2,Salta,12.548748750601563
2019,2,San Juan,6.118522013069041
2019,2,San Luis,19.875972848399364
2019,2,Santa Cruz,6.008047317560813
2019,2,Santa Fe,15.074549058890282
2019,2,Santiago Del Estero,7.103112882966522
2019,2,Tierra Del Fuego,6.34
2019,2,Tucumán,18.529317885920335
2019,1,Buenos Aires,19.643958224230506
2019,1,Capital Federal,24.715063293849774
2019,1,Catamarca,7.964005155271879
2019,1,Chaco,13.444236269077935
2019,1,Chubut,5.891730569196159
2019,1,Córdoba,15.73486422864591
2019,1,Corrientes,12.049695550812029
2019,1,Entre Ríos,10.659197328953976
2019,1,Formosa,9.825089957835713
2019,1,Jujuy,8.560464217465055
2019,1,La Pampa,5.057861842867403
2019,1,La Rioja,7.092792286992043
2019,1,Mendoza,5.742764175317399
2019,1,Misiones,12.512773459683503
2019,1,Neuquén,15.884653263915219
2019,1,Río Negro,10.488420648136287
2019,1,Salta,10.377100013969459
2019,1,San Juan,5.839263189429536
2019,1,San Luis,8.708555188754593
2019,1,Santa Cruz,5.779992970397563
2019,1,Santa Fe,12.986963477266004
2019,1,Santiago Del Estero,6.415070737969083
2019,1,Tierra Del Fuego,6.341101450612301
2019,1,Tucumán,16.573299964579572
2018,4,Buenos Aires,16.934363010150058
2018,4,Capital Federal,22.93530199223472
2018,4,Catamarca,8.043920202659912
2018,4,Chaco,13.492083570210347
2018,4,Chubut,6.085223903684034
2018,4,Córdoba,15.813667433629776
2018,4,Corrientes,12.138923393387724
2018,4,Entre Ríos,11.023282490376955
2018,4,Formosa,9.816893711913803
2018,4,Jujuy,8.562737601752614
2018,4,La Pampa,4.319094957943483
2018,4,La Rioja,7.0933821251548945
2018,4,Mendoza,5.746675102434321
2018,4,Misiones,12.495112674155788
2018,4,Neuquén,15.89123364607043
2018,4,Río Negro,10.487005565275494
2018,4,Salta,10.45728408913591
2018,4,San Juan,5.715266539357845
2018,4,San Luis,8.818992791900516
2018,4,Santa Cruz,5.1195073647728675
2018,4,Santa Fe,13.179234899969483
2018,4,Santiago Del Estero,6.309255243851745
2018,4,Tierra Del Fuego,7.436562008214025
2018,4,Tucumán,16.58323444553027
2018,3,Buenos Aires,16.77973513236217
2018,3,Capital Federal,21.643368364061413
2018,3,Catamarca,7.806521941530631
2018,3,Chaco,12.89496189060927
2018,3,Chubut,6.076722322942862
2018,3,Córdoba,14.8182495375679
2018,3,Corrientes,11.493228365457123
2018,3,Entre Ríos,10.524753506287304
2018,3,Formosa,9.318495441068285
2018,3,Jujuy,7.669872151814152
2018,3,La Pampa,4.283048376167659
2018,3,La Rioja,6.156013225626096
2018,3,Mendoza,5.786015677158131
2018,3,Misiones,12.487485758721087
2018,3,Neuquén,14.674244286624784
2018,3,Río Negro,10.06446008106754
2018,3,Salta,9.265848177562406
2018,3,San Juan,5.738204725877363
2018,3,San Luis,8.814987579354126
2018,3,Santa Cruz,5.369715716600383
2018,3,Santa Fe,12.357326043488575
2018,3,Santiago Del Estero,5.779842512369051
2018,3,Tierra Del Fuego,5.98788374717833
2018,3,Tucumán,15.255950362488306
2018,2,Buenos Aires,14.679375512175804
2018,2,Capital Federal,18.93813458927817
2018,2,Catamarca,7.693096507452943
2018,2,Chaco,12.499460181995785
2018,2,Chubut,5.329857730598913
2018,2,Córdoba,13.876809406349514
2018,2,Corrientes,10.87765289559918
2018,2,Entre Ríos,10.186702751759963
2018,2,Formosa,8.974986530777175
2018,2,Jujuy,6.289345589213642
2018,2,La Pampa,4.098364171057469
2018,2,La Rioja,5.591861584368082
2018,2,Mendoza,5.880529663045039
2018,2,Misiones,11.759657402552001
2018,2,Neuquén,13.365011560107956
2018,2,Río Negro,9.509595114373948
2018,2,Salta,8.928271706442677
2018,2,San Juan,5.845597830692315
2018,2,San Luis,5.9005751848808545
2018,2,Santa Cruz,5.1892899508557875
2018,2,Santa Fe,11.74888462281756
2018,2,Santiago Del Estero,5.9110016469983835
2018,2,Tierra Del Fuego,5.942745057375916
2018,2,Tucumán,13.506545729627103
2018,1,Buenos Aires,14.198889644680946
2018,1,Capital Federal,17.74557730418008
2018,1,Catamarca,8.198860528714677
2018,1,Chaco,12.444064678644967
2018,1,Chubut,5.418637938827784
2018,1,Córdoba,12.790571217400485
2018,1,Corrientes,11.118502865253635
2018,1,Entre Ríos,9.875239366998759
2018,1,Formosa,11.056815367469506
2018,1,Jujuy,6.741185879384532
2018,1,La Pampa,3.995131352064104
2018,1,La Rioja,5.890820604111634
2018,1,Mendoza,5.881626969169374
2018,1,Misiones,12.082189465143012
2018,1,Neuquén,11.96045995607415
2018,1,Río Negro,8.976243194361576
2018,1,Salta,9.1894409821995
2018,1,San Juan,5.850581035549749
2018,1,San Luis,5.89436270457927
2018,1,Santa Cruz,5.1892899508557875
2018,1,Santa Fe,11.173305005746002
2018,1,Santiago Del Estero,6.248210722163038
2018,1,Tierra Del Fuego,5.768082036032884
2018,1,Tucumán,9.355631684806106
2017,4,Buenos Aires,12.9720825438982
2017,4,Capital Federal,15.20221886916041
2017,4,Catamarca,7.78415435139573
2017,4,Chaco,11.702868121959403
2017,4,Chubut,5.408238076890145
2017,4,Córdoba,11.63658470115664
2017,4,Corrientes,10.384400430891967
2017,4,Entre Ríos,9.295960619999066
2017,4,Formosa,10.114170463766307
2017,4,Jujuy,6.638821273566491
2017,4,La Pampa,3.9758194449815036
2017,4,La Rioja,5.877588849506658
2017,4,Mendoza,5.71002586675844
2017,4,Misiones,11.324123723249613
2017,4,Neuquén,10.719151524540269
2017,4,Río Negro,8.045522324672751
2017,4,Salta,8.451742767775633
2017,4,San Juan,5.832260073010133
2017,4,San Luis,5.732208801354054
2017,4,Santa Cruz,5.206584828874508
2017,4,Santa Fe,10.297494601847182
2017,4,Santiago Del Estero,6.165600214985038
2017,4,Tierra Del Fuego,5.203225704536838
2017,4,Tucumán,9.106021307187058
2017,3,Buenos Aires,8.425706211853651
2017,3,Capital Federal,10.635720274073307
2017,3,Catamarca,5.260018066713561
2017,3,Chaco,8.484871287555498
2017,3,Chubut,3.4783469156690874
2017,3,Córdoba,9.115572873049981
2017,3,Corrientes,7.447416428085263
2017,3,Entre Ríos,6.993400639349653
2017,3,Formosa,7.06882153411281
2017,3,Jujuy,4.689006725369201
2017,3,La Pampa,3.4381011143320657
2017,3,La Rioja,5.010090208766659
2017,3,Mendoza,3.512962661663036
2017,3,Misiones,8.430383025286991
2017,3,Neuquén,8.16517738570226
2017,3,Río Negro,5.487278804673885
2017,3,Salta,6.133146206896552
2017,3,San Juan,3.4497842064911834
2017,3,San Luis,3.50338739319684
2017,3,Santa Cruz,3.610470505758638
2017,3,Santa Fe,7.792215148399743
2017,3,Santiago Del Estero,5.178558078335373
2017,3,Tierra Del Fuego,3.475358271865121
2017,3,Tucumán,6.3851768015553985
2017,2,Buenos Aires,7.198747751887984
2017,2,Capital Federal,8.843219830788254
2017,2,Catamarca,5.102182825899711
2017,2,Chaco,7.689213433544128
2017,2,Chubut,3.44726909222351
2017,2,Córdoba,7.421321799076774
2017,2,Corrientes,6.7915804826070545
2017,2,Entre Ríos,6.287810106292773
2017,2,Formosa,6.1786533146404965
2017,2,Jujuy,4.541861878194008
2017,2,La Pampa,3.3182593614961053
2017,2,La Rioja,5.53385510805501
2017,2,Mendoza,3.507255863215121
2017,2,Misiones,7.604338490520663
2017,2,Neuquén,6.700610698446883
2017,2,Río Negro,4.741350857381452
2017,2,Salta,5.756213134839845
2017,2,San Juan,3.4920338095238095
2017,2,San Luis,3.502824149975052
2017,2,Santa Cruz,3.60311348968991
2017,2,Santa Fe,6.838749250446204
2017,2,Santiago Del Estero,5.05794740805446
2017,2,Tierra Del Fuego,3.476761467376085
2017,2,Tucumán,6.093280445624717
2017,1,Buenos Aires,6.678482577091709
2017,1,Capital Federal,8.348147316695423
2017,1,Catamarca,4.973784837545127
2017,1,Chaco,7.307905398272823
2017,1,Chubut,3.4433862008733622
2017,1,Córdoba,6.799477637369997
2017,1,Corrientes,6.43297127701597
2017,1,Entre Ríos,5.9514745757075245
2017,1,Formosa,5.742388931901572
2017,1,Jujuy,4.393861259634748
2017,1,La Pampa,3.2208135842183347
2017,1,La Rioja,5.427180473372781
2017,1,Mendoza,3.5072942051440963
2017,1,Misiones,7.341041988916319
2017,1,Neuquén,6.0348361444213925
2017,1,Río Negro,4.449448877971685
2017,1,Salta,5.335371217821875
2017,1,San Juan,3.492435161246428
2017,1,San Luis,3.502824149975052
2017,1,Santa Cruz,3.591930075636318
2017,1,Santa Fe,6.284036486892411
2017,1,Santiago Del Estero,4.948965833284994
2017,1,Tierra Del Fuego,3.476761467376085
2017,1,Tucumán,5.8755073256955805
2016,4,Buenos Aires,6.3515464502603125
2016,4,Capital Federal,7.957596242752894
2016,4,Catamarca,4.885711305119858
2016,4,Chaco,7.077531005919823
2016,4,Chubut,3.4071912914448172
2016,4,Córdoba,6.4667403639056085
2016,4,Corrientes,6.236245604077509
2016,4,Entre Ríos,5.807350829127614
2016,4,Formosa,5.630674164916322
2016,4,Jujuy,4.323962745742035
2016,4,La Pampa,3.1895597297497957
2016,4,La Rioja,5.3437624272142195
2016,4,Mendoza,3.5066034697453756
2016,4,Misiones,7.1094758091013635
2016,4,Neuquén,5.678446306542373
2016,4,Río Negro,4.369930463165329
2016,4,Salta,5.220883577846971
2016,4,San Juan,3.491135554044867
2016,4,San Luis,3.502824149975052
2016,4,Santa Cruz,3.5639164089588604
2016,4,Santa Fe,6.0402333289406664
2016,4,Santiago Del Estero,4.866794431448622
2016,4,Tierra Del Fuego,3.476761467376085
2016,4,Tucumán,5.7277669342021085
2016,3,Buenos Aires,5.914918008163684
2016,3,Capital Federal,7.380172699207805
2016,3,Catamarca,4.725241179958494
2016,3,Chaco,6.718220363245951
2016,3,Chubut,3.3438663279846357
2016,3,Córdoba,6.068526923518407
2016,3,Corrientes,5.958192561066714
2016,3,Entre Ríos,5.586427488329489
2016,3,Formosa,5.4161310069990956
2016,3,Jujuy,4.215291130909006
2016,3,La Pampa,3.1449984261882276
2016,3,La Rioja,5.076731739002066
2016,3,Mendoza,3.50729080145311
2016,3,Misiones,6.741222269842242
2016,3,Neuquén,5.292166864731292
2016,3,Río Negro,4.162924282482748
2016,3,Salta,5.052874436550483
2016,3,San Juan,3.4890674462877342
2016,3,San Luis,3.5030237740401673
2016,3,Santa Cruz,3.53583356483625
2016,3,Santa Fe,5.6772637615647845
2016,3,Santiago Del Estero,4.670123087013555
2016,3,Tierra Del Fuego,3.4765453774624797
2016,3,Tucumán,5.544683260191403
2016,2,Buenos Aires,5.415144367004824
2016,2,Capital Federal,6.576218932459292
2016,2,Catamarca,4.3648359645166135
2016,2,Chaco,6.297357510958081
2016,2,Chubut,3.335973498985547
2016,2,Córdoba,5.516912823002807
2016,2,Corrientes,5.601822569524247
2016,2,Entre Ríos,5.1311427833012475
2016,2,Formosa,5.104132195866278
2016,2,Jujuy,3.843353043958065
2016,2,La Pampa,3.146067806525381
2016,2,La Rioja,4.773843067001075
2016,2,Mendoza,3.500168567871608
2016,2,Misiones,6.233660566754793
2016,2,Neuquén,4.86640695565863
2016,2,Río Negro,3.976616411905147
2016,2,Salta,4.749378935322928
2016,2,San Juan,3.4883718294284334
2016,2,San Luis,3.501983369175627
2016,2,Santa Cruz,3.5021150276004565
2016,2,Santa Fe,5.1385985309185065
2016,2,Santiago Del Estero,4.309815179590645
2016,2,Tierra Del Fuego,3.478692463211772
2016,2,Tucumán,5.200979761760874
2016,1,Buenos Aires,4.9921684374839135
2016,1,Capital Federal,6.047403702811701
2016,1,Catamarca,4.203588449295134
2016,1,Chaco,5.991472683208309
2016,1,Chubut,3.3796639330714164
2016,1,Córdoba,5.156801617049669
2016,1,Corrientes,5.37127911707625
2016,1,Entre Ríos,5.084574905605243
2016,1,Formosa,4.872333380420963
2016,1,Jujuy,3.7712213425983374
2016,1,La Pampa,3.0476420362792593
2016,1,La Rioja,4.616973938050446
2016,1,Mendoza,3.5028689229788785
2016,1,Misiones,6.000968717380309
2016,1,Neuquén,4.420493149015266
2016,1,Río Negro,3.826659196828916
2016,1,Salta,4.741858784571524
2016,1,San Juan,3.485523490760477
2016,1,San Luis,3.5029004392386534
2016,1,Santa Cruz,3.48315808971074
2016,1,Santa Fe,4.898136028952046
2016,1,Santiago Del Estero,4.174011564306923
2016,1,Tierra Del Fuego,3.475082632716791
2016,1,Tucumán,5.004036640679885
2015,4,Buenos Aires,4.884148905856541
2015,4,Capital Federal,5.927803522979041
2015,4,Catamarca,4.124268369158702
2015,4,Chaco,5.828384180790961
2015,4,Chubut,3.283865031613298
2015,4,Córdoba,5.0670814932684065
2015,4,Corrientes,5.259482120492081
2015,4,Entre Ríos,5.007855905299356
2015,4,Formosa,4.660308568580684
2015,4,Jujuy,3.7246804758922987
2015,4,La Pampa,2.936747707229629
2015,4,La Rioja,4.521671863926294
2015,4,Mendoza,3.5017779300891023
2015,4,Misiones,5.9022914436487
2015,4,Neuquén,4.355592861552936
2015,4,Río Negro,3.768932299598505
2015,4,Salta,4.673467038141578
2015,4,San Juan,3.481604116955732
2015,4,San Luis,3.502937425860024
2015,4,Santa Cruz,3.4809679619106126
2015,4,Santa Fe,4.809873774553555
2015,4,Santiago Del Estero,4.0941016914507635
2015,4,Tierra Del Fuego,3.4748248642417257
2015,4,Tucumán,4.882297946330778
2015,3,Buenos Aires,4.700597914270459
2015,3,Capital Federal,5.66468043459464
2015,3,Catamarca,3.884563872599747
2015,3,Chaco,5.46643296553986
2015,3,Chubut,3.2790384114749496
2015,3,Córdoba,4.867849001225086
2015,3,Corrientes,5.063473816782213
2015,3,Entre Ríos,4.766712366729086
2015,3,Formosa,4.166164102194515
2015,3,Jujuy,3.532724551201011
2015,3,La Pampa,2.9149322141427945
2015,3,La Rioja,4.245850575398008
2015,3,Mendoza,3.500160951021911
2015,3,Misiones,5.634289050903693
2015,3,Neuquén,4.2299439848957405
2015,3,Río Negro,3.7368314562024914
2015,3,Salta,4.4218314129775615
2015,3,San Juan,3.4810928203738825
2015,3,San Luis,3.5027538715982556
2015,3,Santa Cruz,3.4806877443585873
2015,3,Santa Fe,4.559895452402629
2015,3,Santiago Del Estero,3.911237321691457
2015,3,Tierra Del Fuego,3.4777210569327157
2015,3,Tucumán,4.572318667230303
2015,2,Buenos Aires,4.463495663548014
2015,2,Capital Federal,5.31214873823781
2015,2,Catamarca,3.6825082950385544
2015,2,Chaco,5.194771414259476
2015,2,Chubut,3.2165716474851154
2015,2,Córdoba,4.557937666200854
2015,2,Corrientes,4.847197637993736
2015,2,Entre Ríos,4.55056996750087
2015,2,Formosa,3.7649156840276494
2015,2,Jujuy,3.4086788431460913
2015,2,La Pampa,2.8626566401062417
2015,2,La Rioja,4.001551396208129
2015,2,Mendoza,3.4997241088624933
2015,2,Misiones,5.327562649676923
2015,2,Neuquén,4.059617737533036
2015,2,Río Negro,3.666734448621427
2015,2,Salta,4.218121645686839
