Año,Trimestre,Provincia,Mbps (Media de bajada)
2021,1,Mendoza,1.26
2021,1,Misiones,2.508
2021,1,Neuquén,3.424
2021,1,Río Negro,2.192
2021,1,Salta,2.732
2021,1,San Juan,691.0
2021,1,San Luis,2.159
2021,1,Santa Cruz,750.0
2021,1,Santa Fe,2.813
2021,1,Santiago Del Estero,1.158
2021,1,Tierra Del Fuego,873.0
2021,1,Tucumán,3.798
2020,4,Buenos Aires,5.001
2020,4,Capital Federal,6.733
2020,4,Catamarca,3.765
2020,4,Chaco,3.245
2020,4,Chubut,738.0
2020,4,Córdoba,3.512
2020,4,Corrientes,2.545
2020,4,Entre Ríos,2.405
2020,4,Formosa,1.97
2020,4,Jujuy,2.521
2020,4,La Pampa,988.0
2020,4,La Rioja,1.253
2020,4,Mendoza,1.109
2020,4,Misiones,2.496
2020,4,Neuquén,3.391
2020,4,Río Negro,2.164
2020,4,Salta,2.532
2020,4,San Juan,641.0
2020,4,San Luis,2.125
2020,4,Santa Cruz,749.0
2020,4,Santa Fe,2.729
2020,4,Santiago Del Estero,1.128
2020,4,Tierra Del Fuego,849.0
2020,4,Tucumán,3.644
2020,3,Buenos Aires,4.838
2020,3,Capital Federal,6.381
2020,3,Catamarca,3.654
2020,3,Chaco,3.08
2020,3,Chubut,740.0
2020,3,Córdoba,3.351
2020,3,Corrientes,2.385
2020,3,Entre Ríos,2.243
2020,3,Formosa,1.828
2020,3,Jujuy,2.191
2020,3,La Pampa,1.07
2020,3,La Rioja,1.219
2020,3,Mendoza,1.019
2020,3,Misiones,2.414
2020,3,Neuquén,3.146
2020,3,Río Negro,2.108
2020,3,Salta,2.526
2020,3,San Juan,603.0
2020,3,San Luis,2.085
2020,3,Santa Cruz,665.0
2020,3,Santa Fe,2.569
2020,3,Santiago Del Estero,1.088
2020,3,Tierra Del Fuego,851.0
2020,3,Tucumán,3.484
2020,2,Buenos Aires,4.566
2020,2,Capital Federal,6.048
2020,2,Catamarca,3.493
2020,2,Chaco,2.795
2020,2,Chubut,761.0
2020,2,Córdoba,3.099
2020,2,Corrientes,2.215
2020,2,Entre Ríos,2.045
2020,2,Formosa,1.687
2020,2,Jujuy,1.586
2020,2,La Pampa,803.0
2020,2,La Rioja,1.167
2020,2,Mendoza,927.0
2020,2,Misiones,2.256
2020,2,Neuquén,2.91
2020,2,Río Negro,1.968
2020,2,Salta,2.256
2020,2,San Juan,631.0
