Año,Trimestre,Provincia,Otros,"0,256 Mbps","0,375 Mbps","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps","10,6 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,27 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,47 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps",51 Mbps,"50,25 Mbps",52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps
2022.0,4.0,La Pampa,16.028,1,- 0,- 0,6.0,61,143,1.544,- 0,- 0,185,3.218,- 0,- 0,- 0,7.809,- 0,- 0,2.327,3.018,- 0,2.291,33.770,- 0,516,- 0,1.789,- 0,8.029,- 0,- 0,- 0,15,- 0,- 0,- 0,4.386,- 0,- 0,- 0,- 0,4.766,- 0,- 0,- 0,- 0,- 0,5,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.477,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,123,- 0,- 0,- 0,- 0,- 0,- 0,16.423,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,La Rioja,- 0,- 0,- 0,- 0,9.0,9,- 0,595,- 0,- 0,- 0,8,- 0,- 0,- 0,735.0,- 0,- 0,- 0,2,- 0,163,1.623,- 0,- 0,- 0,85,- 0,2.925,- 0,- 0,22,15.802,- 0,- 0,- 0,475,- 0,- 0,- 0,- 0,8.136,- 0,- 0,- 0,- 0,519,1,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.511,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,35.334,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Mendoza,21.144,1,- 0,- 0,86.0,16,737,2.217,- 0,- 0,1.348,3.217,- 0,- 0,- 0,3.647,- 0,- 0,10.699,1.660,- 0,1.282,13.688,- 0,1.092,- 0,10.780,239,8.244,- 0,- 0,- 0,9.392,- 0,- 0,- 0,17.737,- 0,- 0,- 0,- 0,8.806,- 0,- 0,- 0,- 0,8.547,134,- 0,- 0,- 0,- 0,- 0,- 0,- 0,52.398,- 0,- 0,- 0,- 0,14,- 0,- 0,- 0,24,- 0,1,- 0,- 0,- 0,- 0,90.754,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2,- 0,1,- 0
2022.0,4.0,Misiones,8.590,- 0,- 0,- 0,47.0,4,- 0,3.510,- 0,- 0,- 0,11.038,- 0,- 0,- 0,4.823,- 0,- 0,4,1.564,- 0,6.349,11.844,- 0,2.143,- 0,45,4,19.181,- 0,- 0,4,120,- 0,- 0,2,3.261,1,- 0,1,- 0,8.807,- 0,- 0,- 0,- 0,- 0,3,- 0,- 0,- 0,- 0,- 0,- 0,- 0,3.198,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,71,- 0,264,- 0,- 0,- 0,- 0,26.752,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,19,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,553,- 0
2022.0,4.0,Neuquén,2.250,- 0,- 0,- 0,62.0,106,458,536,- 0,- 0,- 0,1.677,- 0,- 0,- 0,6.634,- 0,- 0,10.737,1.476,- 0,9.144,9.146,- 0,276,- 0,6.292,- 0,7.392,- 0,- 0,- 0,2.177,- 0,- 0,1,4.788,- 0,- 0,- 0,- 0,6.042,- 0,- 0,- 0,- 0,- 0,59,- 0,- 0,- 0,- 0,- 0,- 0,- 0,17.332,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,65,- 0,- 0,- 0,- 0,- 0,- 0,11.443,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,8,- 0,- 0,- 0,4,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Río Negro,29.644,- 0,- 0,- 0,36.0,75,501,580,- 0,- 0,- 0,2.759,- 0,- 0,- 0,6.519,- 0,- 0,7.796,2.815,- 0,2.072,10.092,- 0,- 0,- 0,9.287,1,4.643,- 0,- 0,18,3.719,- 0,- 0,- 0,9.470,- 0,- 0,3,- 0,7.232,- 0,- 0,- 0,- 0,- 0,7.131,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5.433,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,104,- 0,- 0,- 0,- 0,- 0,- 0,5.289,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,184,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Salta,6.747,- 0,- 0,- 0,41.0,73,1,1.196,- 0,- 0,- 0,1.537,- 0,- 0,- 0,6.806,- 0,- 0,8,8.242,- 0,4.858,10.079,- 0,303,- 0,6.872,- 0,63.93,- 0,- 0,- 0,72,- 0,- 0,- 0,2.032,- 0,- 0,4,- 0,2.927,- 0,- 0,- 0,- 0,11,1,- 0,- 0,- 0,- 0,1,- 0,- 0,120,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,74,- 0,- 0,- 0,- 0,- 0,- 0,28.164,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,San Juan,11.840,- 0,- 0,- 0,21.0,3,723,1.304,- 0,- 0,- 0,1.398,- 0,- 0,- 0,11.491,- 0,- 0,11.509,860,- 0,2.062,2.749,- 0,1.136,- 0,9.391,28,692.0,- 0,- 0,- 0,8.892,- 0,- 0,- 0,10.662,- 0,- 0,- 0,- 0,886,- 0,- 0,- 0,- 0,6.748,811,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10.700,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,3,- 0,- 0,- 0,- 0,- 0,- 0,9.500,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,San Luis,3.353,- 0,- 0,- 0,59.0,1,163,461,- 0,- 0,- 0,491,- 0,- 0,- 0,2.78,- 0,- 0,1.418,- 0,- 0,319,6.777,- 0,94,- 0,2.622,504,21.464,- 0,- 0,- 0,10.615,- 0,- 0,- 0,1.836,- 0,- 0,- 0,- 0,1.530,- 0,- 0,- 0,- 0,- 0,78.376,- 0,- 0,- 0,- 0,- 0,- 0,- 0,132,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,35,- 0,- 0,3,- 0,- 0,- 0,470,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Santa Cruz,1.048,3,- 0,- 0,26.0,22,218,6.592,- 0,- 0,- 0,2.106,- 0,- 0,- 0,2.535,- 0,- 0,2.001,826,- 0,1.840,2.308,- 0,16,- 0,2.324,9,9.16,- 0,- 0,- 0,2.317,- 0,- 0,- 0,4.388,- 0,- 0,725,- 0,2.944,- 0,- 0,- 0,- 0,92,911,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2.240,- 0,- 0,- 0,516,- 0,- 0,- 0,- 0,34,- 0,- 0,- 0,- 0,- 0,- 0,4.626,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,166,- 0
2022.0,4.0,Santa Fe,18.340,32,- 0,- 0,335.0,101,5,9.369,- 0,- 0,- 0,9.620,- 0,- 0,- 0,33.069,- 0,- 0,172,5.862,- 0,21.980,45.064,- 0,5.727,- 0,10.235,1.441,177.017,- 0,- 0,- 0,3.200,- 0,135,- 0,19.066,60,- 0,8,- 0,50.876,- 0,- 0,- 0,- 0,39,8.787,- 0,- 0,- 0,- 0,- 0,- 0,- 0,14.216,- 0,- 0,- 0,17,18,- 0,2,- 0,936,- 0,81,- 0,- 0,- 0,- 0,128.781,- 0,4,- 0,- 0,- 0,- 0,- 0,- 0,- 0,303,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,51,- 0
2022.0,4.0,Santiago Del Estero,989,- 0,- 0,- 0,39.0,139,908,359,- 0,- 0,307,380,- 0,- 0,- 0,10.355,- 0,- 0,- 0,1.220,- 0,419,13.502,- 0,1.346,- 0,86,- 0,56.704,- 0,- 0,- 0,13.163,- 0,- 0,- 0,533,- 0,- 0,- 0,- 0,4.039,- 0,- 0,- 0,- 0,- 0,18,- 0,- 0,- 0,- 0,- 0,- 0,- 0,643,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,36,- 0,- 0,- 0,- 0,- 0,- 0,935,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Tierra Del Fuego,2.264,- 0,- 0,- 0,11.0,11,318,584,- 0,- 0,- 0,1,- 0,- 0,- 0,462.0,- 0,- 0,3.740,2.004,- 0,410,5.032,- 0,- 0,- 0,8.890,9,4.735,- 0,- 0,- 0,12.055,- 0,- 0,- 0,8.957,- 0,- 0,257,- 0,96,- 0,- 0,- 0,- 0,187,3.154,- 0,- 0,- 0,- 0,- 0,- 0,- 0,306,- 0,- 0,- 0,87,- 0,- 0,- 0,- 0,96,- 0,- 0,- 0,- 0,- 0,- 0,1.126,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,48,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Tucumán,15.118,- 0,- 0,- 0,19.0,20,- 0,1.562,- 0,- 0,- 0,118,- 0,- 0,- 0,7.621,- 0,- 0,2.271,347,- 0,1.200,18.439,- 0,157,- 0,146,123,34.999,- 0,- 0,- 0,12.087,- 0,1,- 0,2.260,- 0,- 0,- 0,- 0,12.021,- 0,- 0,1,- 0,138,115,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1.121,- 0,- 0,- 0,2,- 0,- 0,- 0,- 0,3,- 0,- 0,- 0,- 0,- 0,- 0,59.442,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,- 0
2022.0,3.0,Buenos Aires,97634,18,0,0,28724.0,192,4611,18736,0,0,141,21152,0,26,0,53034.0,0,0,41976,14269,65,32973,96230,0,10945,984,64913,517,204191.0,- 0,0,10,22677,- 0,212,44,85876,258,2,161,0,135315,0,3,1,18,88,40387,0,0,0,0,0,0,0,777236,1610,16,1,1365,4,0,0,0,3790,9,0,0,0,777,1,463798,0,0,0,0,0,113,0,1,59,435439,78,1,0,0,14,0,0,0,5655,0,90796,0
2022.0,3.0,Capital Federal,106772,31,0,0,451.0,34,1307,3789,0,0,0,286,0,0,0,3564.0,0,0,11975,991,0,3427,11077,0,7,0,16652,3,47991.0,- 0,0,5,12,- 0,0,0,29692,5,0,0,0,6622,0,1,0,0,0,2370,0,0,0,0,0,0,0,58801,0,0,0,9,0,0,0,30,122,0,0,0,0,0,0,76732,0,0,0,0,0,1,0,0,0,105156,0,0,0,0,0,1,0,0,15,0,28406,0
2022.0,3.0,Catamarca,2280,0,0,0,34.0,37,0,315,0,0,0,115,0,0,0,979.0,0,0,0,0,0,71,1551,0,1,0,0,0,5027.0,- 0,0,0,407,- 0,0,0,742,0,0,0,0,3489,0,0,0,0,2228,1,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.0,3.0,Chaco,3909,0,225,111,234.0,2,0,660,0,25,0,780,0,0,0,3909.0,0,0,167,385,0,3588,7213,0,106,0,702,1,17037.0,- 0,0,0,137,- 0,0,0,2808,0,0,0,0,3759,0,0,0,0,0,747,0,0,0,0,0,0,0,2303,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,27538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
