Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2022,2,Entre Ríos,107.0,5.656,48.637,48.557,18.512,32.355,98.769,16.759,269.352
2022,2,Formosa,97.0,407.0,23.834,19.706,6.33,591.0,16.326,590.0,67.881
2022,2,Jujuy,58.0,1.829,19.458,15.79,37.786,549.0,37.391,2.453,115.314
2022,2,La Pampa,68.0,1.887,62.546,9.842,11.8,5.247,17.125,3.012,111.527
2022,2,La Rioja,18.0,728.0,3.179,3.89,23.814,5.481,48.920,0.0,86.030
2022,2,Mendoza,103.0,2.954,44.961,22.557,64.138,19.543,121.366,3.94,279.562
2022,2,Misiones,51.0,3.808,37.254,21.712,12.774,19.757,75.107,8.35,178.813
2022,2,Neuquén,134.0,999.0,38.826,15.066,9.205,2.039,76.982,18.717,161.968
2022,2,Río Negro,111.0,1.227,33.364,17.938,27.168,13.714,41.972,24.27,159.764
2022,2,Salta,114.0,1.53,33.732,72.661,6.012,1.156,81.478,6.494,203.177
2022,2,San Juan,24.0,2.027,30.385,11.276,24.649,3.728,16.701,11.617,100.407
2022,2,San Luis,60.0,306.0,6.840,21.217,11.052,67.438,13,14.815,121.741
2022,2,Santa Cruz,52.0,6.841,12.348,11.369,11.885,2.454,3.592,644.0,49.185
2022,2,Santa Fe,468.0,11.757,138.534,204.381,74.133,58.114,373.888,17.584,878.859
2022,2,Santiago Del Estero,178.0,1.401,29.581,59.931,14.606,883.0,10.672,792.0,118.044
2022,2,Tierra Del Fuego,22.0,831.0,12.052,14.828,19.968,1.712,1.006,3.351,53.770
2022,2,Tucumán,39.0,2.195,34.461,43.513,23.634,4.863,145.541,281.0,254.527
2022,1,Buenos Aires,31.591,30.056,313.382,321.756,290.127,161.183,3.381.049,26.28,4.555.424
2022,1,Capital Federal,527.0,5.575,39.918,77.39,61.053,43.289,1.188.072,1.717,1.417.541
2022,1,Catamarca,71.0,456.0,4.386,7.009,8.773,3.761,35.715,2.207,62.378
2022,1,Chaco,461.0,1.099,16.888,21.235,20.898,13.012,62.946,7.58,144.119
2022,1,Chubut,113.0,1.677,61.369,31.856,33.08,13.871,14.055,15.607,171.628
2022,1,Córdoba,100.0,12.782,165.922,126.009,73.967,34.892,577.027,13.104,1.003.803
2022,1,Corrientes,67.0,4.029,24.563,25.665,27.077,10.452,43.631,7.094,142.578
2022,1,Entre Ríos,107.0,5.745,50.075,49.62,42.294,21.578,81.757,16.75,267.926
2022,1,Formosa,97.0,448.0,24.113,6.945,6.613,716.0,15.028,588.0,54.548
2022,1,Jujuy,58.0,1.761,22.141,16.321,37.923,576.0,35.287,2.442,116.509
2022,1,La Pampa,301.0,2.223,62.812,9.869,12.044,5.25,14.400,2.833,109.732
2022,1,La Rioja,18.0,778.0,3.576,4.692,23.624,5.645,45.970,0.0,84.303
2022,1,Mendoza,114.0,3.355,51.230,26.407,74.178,21.566,95.048,3.287,275.185
2022,1,Misiones,51.0,3.873,35.655,22.261,26.855,15.854,58.610,8.349,171.508
2022,1,Neuquén,137.0,1.123,39.856,15.623,11.163,2.654,71.238,7.885,149.679
2022,1,Río Negro,116.0,1.383,35.565,18.859,26.926,14.144,37.729,22.652,157.374
2022,1,Salta,114.0,1.725,35.576,68.246,6.313,2.214,76.838,6.489,197.515
2022,1,San Juan,26.0,2.269,32.356,11.914,25.144,2.088,11.916,2.465,88.178
2022,1,San Luis,61.0,643.0,8.287,3.837,9.802,68.612,13,28.589,119.844
2022,1,Santa Cruz,51.0,6.898,12.710,11.502,12.277,2.628,2.551,485.0,49.102
2022,1,Santa Fe,468.0,12.435,143.796,208.361,84.787,58.018,344.170,18.444,870.479
2022,1,Santiago Del Estero,178.0,1.401,30.220,61.17,13.542,849.0,8.309,792.0,116.461
2022,1,Tierra Del Fuego,24.0,894.0,12.849,15.64,18.034,1.767,982,2.421,52.611
2022,1,Tucumán,39.0,2.212,36.028,46.961,21.014,5.211,133.846,273.0,245.584
2021,4,Buenos Aires,37.821,11.026,352.950,331.292,297.296,196.021,3.259.793,22.958,4.509.157
2021,4,Capital Federal,563.0,1.695,47.133,81.899,66.135,66.755,1.147.939,0.0,1.412.119
2021,4,Catamarca,71.0,0.0,6.038,7.855,9.804,3.262,29.827,2.233,59.090
2021,4,Chaco,461.0,112.0,18.845,22.678,21.937,13.692,58.435,7.585,143.745
2021,4,Chubut,126.0,1.294,63.698,39.568,31.175,5.78,2.904,15.763,160.308
2021,4,Córdoba,100.0,2.479,184.548,130.892,76.246,41.198,538.700,12.607,986.770
2021,4,Corrientes,67.0,645.0,28.830,26.368,22.922,10.087,39.911,7.082,135.912
2021,4,Entre Ríos,107.0,3.024,56.043,49.636,38.295,24.068,77.290,16.583,265.046
2021,4,Formosa,84.0,0.0,22.908,6.983,6.811,1.135,13.775,1.967,53.663
2021,4,Jujuy,58.0,175.0,22.446,16.793,38.134,564.0,33.421,2.324,113.915
2021,4,La Pampa,301.0,493.0,64.840,9.082,12.259,4.821,12.184,3.027,107.007
2021,4,La Rioja,18.0,1.0,5.018,5.437,23.559,5.671,43.424,0.0,83.128
2021,4,Mendoza,156.0,1.463,66.428,30.308,75.214,18.621,75.031,366.0,267.587
2021,4,Misiones,51.0,5.0,41.916,23.554,26.721,15.954,54.596,8.335,171.132
2021,4,Neuquén,140.0,940.0,42.313,13.264,10.515,3.31,69.217,7.767,147.466
2021,4,Río Negro,156.0,1.174,38.373,19.878,31.255,4.13,36.142,22.645,153.753
2021,4,Salta,114.0,20.0,40.673,69.324,6.642,3.535,72.622,6.475,199.405
2021,4,San Juan,44.0,1.442,28.906,10.955,23.978,398.0,9.800,4.435,79.958
2021,4,San Luis,62.0,264.0,8.550,4.276,9.107,67.363,9,29.218,118.849
2021,4,Santa Cruz,52.0,297.0,20.305,11.641,13.054,1.77,876,491.0,48.486
2021,4,Santa Fe,467.0,581.0,169.706,206.856,85.69,62.349,322.015,18.777,866.441
2021,4,Santiago Del Estero,178.0,909.0,31.915,61.524,12.205,800.0,7.537,793.0,115.861
2021,4,Tierra Del Fuego,26.0,385.0,13.505,16.534,16.562,1.748,1.017,2.58,52.357
2021,4,Tucumán,39.0,97.0,37.321,48.736,21.023,5.326,125.857,240.0,238.639
2021,3,Buenos Aires,37.193,31.149,1.108.940,248.153,141.383,192.797,2.482.266,9.728,4.251.609
2021,3,Capital Federal,295.0,603.0,156.978,67.013,39.785,73.502,1.075.229,0.0,1.413.405
2021,3,Catamarca,71.0,0.0,6.755,8.428,10.517,1.659,26.618,2.206,56.254
2021,3,Chaco,301.0,112.0,22.545,20.986,23.852,14.412,49.705,7.958,139.871
2021,3,Chubut,104.0,105.0,89.168,26.281,18.538,5.32,1.643,14.907,156.066
2021,3,Córdoba,99.0,2.452,204.989,141.285,65.05,47.198,476.459,9.256,946.788
2021,3,Corrientes,67.0,645.0,29.629,28.478,24.792,9.687,35.468,5.053,133.819
2021,3,Entre Ríos,107.0,3.024,61.354,59.776,39.114,16.284,67.961,12.755,260.375
2021,3,Formosa,381.0,0.0,22.778,7.142,6.978,1.192,12.707,1.617,52.795
2021,3,Jujuy,48.0,175.0,23.884,16.417,37.755,561.0,29.917,2.401,111.158
2021,3,La Pampa,298.0,313.0,65.063,7.395,8.737,4.023,10.506,4.152,100.487
2021,3,La Rioja,18.0,1.0,5.366,5.979,23.315,4.868,42.613,0.0,82.160
2021,3,Mendoza,36.0,31.0,151.871,12.64,62.628,7.596,21.087,50.0,255.939
2021,3,Misiones,51.0,5.0,41.932,25.099,26.079,14.792,42.291,8.279,158.528
2021,3,Neuquén,112.0,327.0,57.441,8.566,6.234,3.631,57.919,5.579,139.809
