Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
SANTA FE,Las Colonias,Cavour,137,--,--,--,--,--,SI,SI,--,--,82070010.0,"-31,36663303","-61,01722549"
SANTA FE,Las Colonias,Cululú,97,--,--,--,--,--,SI,SI,--,--,82070020.0,"-31,20531108","-60,93140034"
CABA,COMUNA 05,ALMAGRO,131699,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010.0,"-34,60922769","-58,42174523"
SANTA FE,General Obligado,Villa Guillermina,4555,SI,SI,--,--,SI,SI,SI,SI,SI,82049220.0,"-28,24507543","-59,45475983"
SANTA FE,General Obligado,Villa Ocampo,15037,SI,SI,--,--,SI,--,SI,SI,SI,82049230.0,"-28,49045096","-59,35876413"
SANTA FE,Iriondo,Barrio Cicarelli,28,--,--,--,--,--,SI,--,--,--,82056010.0,"-32,61037761","-61,32444093"
SANTA FE,Iriondo,Bustinza,1098,SI,--,--,SI,--,SI,SI,--,SI,82056020.0,"-32,73999618","-61,29158697"
SANTA FE,Iriondo,Cañada de Gómez,29205,SI,SI,--,SI,--,SI,SI,SI,SI,82056030.0,"-32,81668673","-61,38996615"
CABA,COMUNA 05,BOEDO,47306,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010.0,"-34,62996001","-58,41884037"
SAN LUIS,Junín,La Lomita,0,--,--,--,--,--,--,--,--,--,74049050.0,"-32,06118703","-65,29783394"
SAN LUIS,Junín,Lafinur,201,--,--,--,--,--,SI,--,--,--,74049030.0,"-32,0621152","-65,34968155"
SAN LUIS,Junín,Las Palomas,0,--,--,--,--,--,--,--,--,--,74049050.0,"-32,06323545","-65,4731808"
SAN LUIS,Junín,Los Cajones,431,--,--,--,--,--,SI,SI,--,--,74049040.0,"-32,0257513","-65,37493615"
