Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),1853,SI,--,--,--,--,--,SI,SI,SI,6588010.0,"-35,29298195","-61,40725421"
BUENOS AIRES,9 de Julio,Carlos María Naón,497,--,--,--,--,--,--,SI,SI,SI,6588020.0,"-35,23949938","-60,82513588"
BUENOS AIRES,9 de Julio,Dudignac,2670,--,--,SI,--,--,SI,SI,SI,SI,6588040.0,"-35,65119285","-60,70989628"
BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),531,--,--,--,--,--,--,--,--,SI,6588050.0,"-35,40794679","-61,21056682"
BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),748,SI,--,--,SI,--,--,SI,SI,SI,6588060.0,"-35,52014145","-60,9989488"
BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),76,--,--,--,--,--,--,SI,--,SI,6588070.0,"-35,34626626","-60,74534468"
BUENOS AIRES,9 de Julio,Morea,347,--,--,--,--,--,SI,SI,--,--,6588080.0,"-35,55638801","-60,56059406"
BUENOS AIRES,9 de Julio,Norumbega,57,--,--,--,--,--,--,SI,--,--,6588090.0,"-35,53573927","-60,79281436"
BUENOS AIRES,9 de Julio,Patricios,745,SI,--,--,--,--,SI,SI,SI,--,6588110.0,"-35,4395527","-60,71743847"
BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),566,--,--,--,SI,--,SI,SI,SI,SI,6588120.0,"-35,49892395","-60,86472071"
BUENOS AIRES,Adolfo Alsina,Carhué,9660,SI,--,SI,SI,--,SI,SI,SI,SI,6007010.0,"-37,1774801","-62,75789626"
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,563,--,--,--,SI,--,--,SI,--,SI,6007020.0,"-37,44861865","-63,11760941"
BUENOS AIRES,Adolfo Alsina,Delfín Huergo,14,--,--,--,--,--,--,--,--,--,6007030.0,"-37,31732926","-63,23316906"
BUENOS AIRES,Adolfo Alsina,Espartillar,21,--,--,--,--,--,--,--,--,SI,6007040.0,"-37,35633456","-62,43876378"
BUENOS AIRES,Azul,Ariel,16,--,--,--,--,--,--,--,--,SI,6049010.0,"-36,53125442","-59,92006518"
BUENOS AIRES,Azul,Azul,55728,SI,SI,SI,SI,SI,SI,SI,SI,SI,6049020.0,"-36,7795145","-59,85863317"
BUENOS AIRES,Azul,Cacharí,2960,--,--,SI,--,--,SI,SI,SI,SI,6049030.0,"-36,38056263","-59,50306455"
BUENOS AIRES,Azul,Chillar,3083,--,--,--,--,SI,SI,SI,SI,SI,6049040.0,"-37,31501132","-59,98531817"
BUENOS AIRES,Bahía Blanca,Bahía Blanca,291327,SI,SI,SI,SI,SI,SI,SI,SI,SI,6056010.0,"-38,71140373","-62,25690895"
BUENOS AIRES,Bahía Blanca,Cabildo,2046,--,SI,SI,SI,--,SI,SI,SI,SI,6056020.0,"-38,48385721","-61,89260153"
BUENOS AIRES,Bahía Blanca,General Daniel Cerri (Est. General Cerri),6745,SI,SI,SI,SI,--,SI,SI,SI,SI,6056030.0,"-38,71365249","-62,39242217"
BUENOS AIRES,Bahía Blanca,Grunbein,0,--,--,--,--,--,--,--,SI,SI,6056020.0,"-38,74710795","-62,18911669"
BUENOS AIRES,Bahía Blanca,Ingeniero White,0,--,--,--,SI,SI,--,--,SI,SI,6056020.0,"-38,77946704","-62,26295125"
BUENOS AIRES,General Pueyrredón,Chapadmalal,4112,SI,--,--,SI,SI,SI,SI,SI,SI,6357080.0,"-38,17577793","-57,651339"
BUENOS AIRES,General Pueyrredón,El Marquesado,196,--,--,--,--,--,SI,SI,--,--,6357090.0,"-38,23693125","-57,76341808"
BUENOS AIRES,General Pueyrredón,Estacion Camet,0,--,--,--,--,--,--,--,SI,SI,6357090.0,"-37,88866524","-57,60001215"
BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,1633,SI,--,--,SI,--,SI,--,SI,SI,6357100.0,"-38,03672773","-57,71298974"
BUENOS AIRES,General Pueyrredón,Mar del Plata,560913,SI,SI,SI,SI,SI,SI,SI,SI,SI,6357110.0,"-38,01209148","-57,60649472"
BUENOS AIRES,General Pueyrredón,Punta Mogotes,0,--,--,--,--,--,--,--,SI,SI,6351020.0,"-38,08337743","-57,58593509"
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,4249,SI,--,--,SI,--,SI,SI,SI,SI,6357120.0,"-37,95416671","-57,7715971"
BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,0,--,--,--,SI,--,--,--,SI,SI,6364030.0,"-34,68821595","-58,95742971"
BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,0,--,--,--,--,--,--,--,SI,SI,6364030.0,"-34,555","-58,935"
BUENOS AIRES,Pellegrini,Pellegrini,5115,SI,SI,SI,--,SI,SI,SI,SI,SI,6616030.0,"-36,26973523","-63,16528611"
BUENOS AIRES,Pergamino,Acevedo,1499,SI,SI,--,--,--,SI,SI,SI,SI,6623010.0,"-33,75566535","-60,44083739"
BUENOS AIRES,Pergamino,Fontezuela,365,SI,--,--,SI,--,SI,SI,--,--,6623020.0,"-33,91383924","-60,46286509"
BUENOS AIRES,Pergamino,Guerrico,774,--,SI,--,--,SI,SI,--,SI,SI,6623030.0,"-33,67458496","-60,40068659"
BUENOS AIRES,Pergamino,Juan A. de la Peña,211,--,--,--,--,--,SI,--,--,--,6623040.0,"-33,83227674","-60,48648954"
BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),976,SI,--,--,SI,--,SI,SI,SI,SI,6623050.0,"-33,92633786","-60,38290348"
BUENOS AIRES,Pergamino,La Violeta,1041,SI,--,--,--,--,--,SI,SI,SI,6623060.0,"-33,73478514","-60,17017731"
BUENOS AIRES,Pergamino,Manuel Ocampo,1078,--,--,--,SI,--,SI,SI,SI,SI,6623070.0,"-33,76472327","-60,64924293"
BUENOS AIRES,Pergamino,Mariano Benítez,168,--,--,--,--,--,--,SI,--,--,6623080.0,"-33,70902704","-60,5842599"
BUENOS AIRES,Pergamino,Mariano H. Alfonzo (Est. San Patricio),993,--,--,--,--,SI,--,--,SI,SI,6623090.0,"-33,9149979","-60,83835507"
BUENOS AIRES,Pergamino,Pergamino,91399,SI,SI,SI,SI,SI,SI,SI,SI,SI,6623100.0,"-33,89499006","-60,57164008"
BUENOS AIRES,Pergamino,Pinzón,393,--,--,--,--,--,SI,--,--,--,6623110.0,"-33,99472112","-60,731648"
MENDOZA,Lavalle,El Paramillo,90,--,--,--,--,--,--,--,--,--,50056090.0,"-32,78130882","-68,53368309"
CABA,COMUNA 12,VILLA PUEYRREDON,39654,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010.0,"-34,58211045","-58,50348488"
CATAMARCA,Ambato,Los Varela,443,--,--,--,--,SI,--,--,--,SI,10007110.0,"-27,92799423","-65,88223023"
CATAMARCA,Ambato,Singuil,295,--,--,--,--,--,--,--,--,SI,10007120.0,"-27,81421686","-65,867066"
CATAMARCA,Ancasti,Ancasti,361,--,--,--,--,SI,--,SI,--,SI,10014010.0,"-28,80982977","-65,502102"
CATAMARCA,Ancasti,Anquincila,202,--,--,--,--,--,--,--,--,--,10014020.0,"-28,75459365","-65,54951028"
CATAMARCA,Ancasti,La Candelaria,77,--,--,--,--,--,--,--,--,--,10014030.0,"-28,72076229","-65,41069174"
CATAMARCA,Ancasti,La Majada,154,--,--,--,--,--,--,--,--,--,10014040.0,"-29,02951076","-65,54995677"
CATAMARCA,Andalgalá,Aconquija,0,--,--,--,--,SI,--,--,SI,SI,10021010.0,"-27,47437989","-66,02668843"
CATAMARCA,Andalgalá,Alto De Las Juntas,0,--,--,--,--,--,--,--,--,--,10021010.0,"-27,45119598","-66,01996883"
CATAMARCA,Andalgalá,Amanao,29,--,--,--,--,--,--,SI,SI,--,10021010.0,"-27,52758956","-66,51567617"
CATAMARCA,Andalgalá,Andalgalá,12600,SI,--,--,SI,SI,SI,SI,SI,SI,10021020.0,"-27,5732226","-66,32354664"
CATAMARCA,Andalgalá,Buena Vista,0,--,--,--,--,--,--,--,--,--,10021010.0,"-27,33919224","-66,02418922"
CATAMARCA,Andalgalá,Chaquiago,1096,--,--,--,SI,SI,SI,--,--,--,10021030.0,"-27,53689555","-66,33505689"
CATAMARCA,Andalgalá,Choya,403,--,--,--,--,--,--,--,--,--,10021040.0,"-27,52107493","-66,40347428"
CATAMARCA,Andalgalá,El Alamito,734,--,--,--,--,--,SI,--,--,--,10021050.0,"-27,33353788","-66,02298517"
CATAMARCA,Andalgalá,El Lindero,741,--,--,--,--,--,--,SI,--,--,10021060.0,"-27,47437989","-66,02668843"
CATAMARCA,Andalgalá,El Potrero,184,--,--,--,SI,--,--,SI,--,--,10021070.0,"-27,51623224","-66,34342808"
CATAMARCA,Andalgalá,La Aguada,378,--,--,--,SI,--,SI,--,--,--,10021080.0,"-27,53408903","-66,31177505"
CATAMARCA,Andalgalá,La Mesada,0,--,--,--,SI,--,--,--,--,--,10021010.0,"-27,45119598","-66,01996883"
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,730,--,--,--,--,SI,--,SI,--,SI,10028010.0,"-26,06329574","-67,41167064"
CATAMARCA,Antofagasta de la Sierra,Antofalla,45,--,--,--,--,--,--,--,--,--,10028020.0,"-25,52015495","-67,62204742"
CATAMARCA,Antofagasta de la Sierra,El Peñón,263,--,--,--,--,--,--,SI,--,--,10028030.0,"-26,43777955","-67,25909536"
CATAMARCA,Antofagasta de la Sierra,Los Nacimientos,43,--,--,--,--,--,--,--,--,--,10028040.0,"-25,75926658","-67,39126714"
CATAMARCA,Belén,Barranca Larga,330,--,--,--,--,--,--,SI,--,--,10035010.0,"-26,93667259","-66,74737367"
CATAMARCA,Belén,Belén,12256,--,--,--,--,SI,SI,SI,SI,SI,10035020.0,"-27,63375823","-67,01812243"
CATAMARCA,Belén,Cóndor Huasi,254,--,--,--,--,--,--,--,--,--,10035030.0,"-27,48002537","-67,10343656"
CATAMARCA,Belén,Corral Quemado,1204,--,--,--,--,--,--,SI,--,--,10035040.0,"-27,14582662","-66,94187721"
CATAMARCA,Belén,El Durazno,378,--,--,--,--,SI,--,--,--,--,10035050.0,"-27,23521607","-67,06443023"
CATAMARCA,Belén,Farallón Negro,1463,--,--,--,--,--,--,SI,--,SI,10035060.0,"-27,29799116","-66,65265359"
CATAMARCA,Belén,Hualfín,987,--,--,--,--,SI,--,SI,--,SI,10035070.0,"-27,22510895","-66,82574947"
CATAMARCA,Belén,Jacipunco,361,--,--,--,--,--,--,SI,--,--,10035080.0,"-27,22325029","-67,01895606"
CORDOBA,San Javier,Villa de las Rosas,3103,--,--,--,--,--,SI,--,SI,SI,14133190.0,"-31,94847332","-65,05501816"
CORDOBA,San Javier,Villa Dolores,29854,SI,SI,--,SI,--,SI,SI,SI,SI,14133200.0,"-31,94404341","-65,19613956"
CORDOBA,San Javier,Villa La Viña,34,--,--,--,--,--,SI,--,--,--,14133210.0,"-31,87277115","-65,03727463"
CORDOBA,San Justo,Alicia,3305,--,SI,--,SI,SI,--,SI,SI,SI,14140010.0,"-31,93874917","-62,46579457"
CORDOBA,San Justo,Altos de Chipión,1718,--,--,--,SI,SI,--,SI,SI,SI,14140020.0,"-30,95635076","-62,33788812"
CORDOBA,San Justo,Arroyito,22147,SI,SI,--,SI,SI,SI,SI,SI,SI,14140030.0,"-31,41939087","-63,05034441"
CORDOBA,San Justo,Balnearia,6105,--,--,--,--,--,--,SI,SI,SI,14140040.0,"-31,01070757","-62,6671044"
CORDOBA,San Justo,Brinkmann,9890,SI,--,--,SI,--,--,SI,SI,SI,14140050.0,"-30,86652502","-62,03565224"
CORDOBA,San Justo,Colonia 10 de Julio,73,--,--,--,--,--,--,--,--,--,14140070.0,"-30,527376","-62,11421823"
CORDOBA,San Justo,Colonia Anita,8,--,--,--,--,--,SI,--,--,--,14140060.0,"-31,14386295","-62,21358629"
CORDOBA,San Justo,Colonia Iturraspe,6,--,--,--,--,--,--,--,--,--,14140215.0,"-31,20714332","-62,1099182"
CORDOBA,San Justo,Colonia Las Pichanas,117,--,--,--,--,--,SI,--,--,--,14140080.0,"-31,24540663","-62,92566649"
ENTRE RIOS,Uruguay,Caseros,1948,SI,--,--,SI,--,SI,SI,SI,SI,30098020.0,"-32,46427726","-58,47807187"
ENTRE RIOS,Uruguay,Colonia Elía,741,--,--,--,SI,--,SI,SI,--,SI,30098030.0,"-32,67237178","-58,32511924"
ENTRE RIOS,Uruguay,Concepción del Uruguay,72528,SI,SI,SI,SI,--,SI,SI,SI,SI,30098040.0,"-32,48536017","-58,23205174"
ENTRE RIOS,Uruguay,Estancia San Pedro,0,--,--,--,--,--,SI,--,--,--,30098030.0,"-32,2669","-58,6294"
ENTRE RIOS,Uruguay,Herrera,1251,SI,--,--,--,--,SI,SI,--,SI,30098060.0,"-32,43461398","-58,63301371"
ENTRE RIOS,Uruguay,Las Moscas,383,--,--,--,SI,--,SI,SI,--,SI,30098070.0,"-32,09266669","-58,95759236"
ENTRE RIOS,Uruguay,Líbaros,230,--,--,--,--,--,SI,SI,--,--,30098080.0,"-32,26294793","-58,90661081"
ENTRE RIOS,Uruguay,Pronunciamiento,976,--,--,--,--,--,SI,SI,SI,SI,30098100.0,"-32,34565078","-58,44385911"
ENTRE RIOS,Uruguay,Rocamora,281,--,--,--,--,--,SI,SI,--,--,30098110.0,"-32,34597296","-58,96974541"
ENTRE RIOS,Uruguay,Santa Anita,1187,--,--,--,SI,--,SI,SI,--,SI,30098120.0,"-32,17624663","-58,78648225"
ENTRE RIOS,Uruguay,Villa Mantero,1427,SI,--,--,SI,SI,SI,SI,SI,SI,30098130.0,"-32,39870913","-58,7440639"
ENTRE RIOS,Uruguay,Villa San Justo,1337,--,--,--,SI,--,SI,SI,SI,SI,30098140.0,"-32,4463199","-58,43591383"
ENTRE RIOS,Uruguay,Villa San Marcial (Est. Gobernador Urquiza),639,--,--,--,--,--,SI,SI,SI,SI,30098150.0,"-32,1800624","-58,9301272"
ENTRE RIOS,Victoria,Antelo,211,--,--,--,--,--,--,--,--,--,30105010.0,"-32,53381026","-60,03569661"
MENDOZA,Lavalle,El Vergel,362,--,--,--,--,--,SI,--,--,--,50056100.0,"-32,76231322","-68,64760118"
MENDOZA,Lavalle,Ingeniero Gustavo André,288,--,--,--,--,--,SI,--,--,--,50056110.0,"-32,6824002","-68,32689691"
MENDOZA,Lavalle,Jocolí,684,--,--,--,--,--,SI,--,--,--,50056120.0,"-32,61254105","-68,6790409"
MENDOZA,Lavalle,Jocolí Viejo,422,--,--,--,--,--,SI,--,--,--,50056130.0,"-32,72746234","-68,66023196"
MENDOZA,Lavalle,Las Violetas,87,--,--,--,--,--,--,--,--,--,50056140.0,"-32,82081519","-68,61641408"
MENDOZA,Lavalle,Villa Tulumaya,7870,--,--,--,SI,--,SI,--,SI,SI,50056160.0,"-32,71961424","-68,60304385"
MENDOZA,Luján de Cuyo,Agrelo,2147,SI,--,--,SI,--,SI,SI,SI,SI,50063010.0,"-33,11738444","-68,89602354"
MENDOZA,Luján de Cuyo,Barrio Adina I Y Ii,0,--,--,--,--,--,--,--,SI,SI,50063060.0,"-33,06493882","-68,88770149"
MENDOZA,Luján de Cuyo,Barrio Perdriel IV,371,--,--,--,SI,--,SI,--,--,SI,50063020.0,"-33,07532823","-68,9250404"
MENDOZA,Luján de Cuyo,Cacheuta,636,SI,--,--,--,--,SI,SI,SI,SI,50063030.0,"-33,03671044","-69,11590683"
MENDOZA,Luján de Cuyo,CARRODILLA,0,--,--,--,SI,--,SI,--,SI,SI,50063060.0,"-32,97765783","-68,85243946"
MENDOZA,Luján de Cuyo,CHACRAS DE CORIA,0,--,--,--,SI,--,SI,--,SI,SI,50063060.0,"-32,98990321","-68,89136792"
MENDOZA,Luján de Cuyo,Costa Flores,297,--,--,--,SI,--,SI,--,SI,SI,50063040.0,"-33,07051845","-68,93432149"
MENDOZA,Luján de Cuyo,El Carmelo,0,--,--,--,--,--,--,--,--,--,50063050.0,"-32,95511112","-69,28119239"
MENDOZA,Luján de Cuyo,El Carrizal,344,--,--,--,--,--,SI,--,--,SI,50063050.0,"-33,30374336","-68,7554952"
MENDOZA,Luján de Cuyo,El Salto,297,--,--,--,--,--,SI,SI,--,--,50063060.0,"-32,89947818","-69,33364844"
MENDOZA,Luján de Cuyo,La Puntilla,0,--,--,--,SI,--,SI,--,--,--,50063060.0,"-32,96097139","-68,87233239"
MENDOZA,Rivadavia,Rivadavia,31038,SI,--,SI,SI,SI,SI,SI,SI,SI,50084140.0,"-33,19403215","-68,47361889"
MENDOZA,Rivadavia,Santa María de Oro,609,--,--,--,--,--,SI,--,--,--,50084150.0,"-33,20598063","-68,43355891"
MENDOZA,San Carlos,Barrio Carrasco,135,--,--,--,--,--,--,--,--,--,50091005.0,"-33,83210661","-69,04900321"
MENDOZA,San Carlos,Barrio El Cepillo,109,--,--,--,--,--,SI,--,--,--,50091010.0,"-33,83865338","-69,13034972"
MENDOZA,San Carlos,Chilecito,1033,--,--,--,--,--,SI,--,SI,SI,50091020.0,"-33,8934021","-69,08046336"
MENDOZA,San Carlos,Eugenio Bustos,5591,SI,--,--,--,--,SI,SI,SI,SI,50091030.0,"-33,78502245","-69,07290453"
MENDOZA,San Carlos,La Consulta,8241,SI,--,--,--,SI,SI,SI,SI,SI,50091040.0,"-33,73867574","-69,12812556"
MENDOZA,San Carlos,Pareditas,1021,--,--,--,SI,--,SI,SI,SI,SI,50091050.0,"-33,9452563","-69,0824859"
MENDOZA,San Carlos,San Carlos,3886,--,SI,--,--,--,SI,--,SI,SI,50091060.0,"-33,77444946","-69,04909092"
MENDOZA,San Martín,Alto Salvador,0,--,--,--,SI,--,SI,SI,--,--,50098090.0,"-33,03597168","-68,47084072"
MENDOZA,San Martín,Alto Verde,1627,--,--,--,SI,--,SI,--,--,--,50098020.0,"-33,11950374","-68,4180219"
MENDOZA,San Martín,Barrio Chivilcoy,403,--,--,--,--,--,--,--,--,--,50098030.0,"-33,04114674","-68,35415274"
MENDOZA,San Martín,Barrio Emanuel,75,--,--,--,--,--,--,--,--,--,50098040.0,"-32,8468556","-68,41001992"
MENDOZA,San Martín,Barrio La Estación,111,--,--,--,--,--,--,--,--,--,50098045.0,"-33,15529016","-68,35436216"
MENDOZA,San Martín,Barrio Los Charabones,227,--,--,--,--,--,--,--,--,--,50098050.0,"-32,97851157","-68,30510182"
MENDOZA,San Martín,Barrio Ntra. Sra. De Fátima,203,--,--,--,--,--,--,--,SI,--,50098055.0,"-33,13097148","-68,35127798"
MENDOZA,San Martín,Chapanay,1486,--,--,SI,SI,--,SI,SI,SI,SI,50098060.0,"-32,98011773","-68,47652538"
MENDOZA,San Martín,Chivilcoy,550,--,--,--,--,--,--,--,--,--,50098070.0,"-33,03833558","-68,45940294"
MENDOZA,San Martín,El Espino,376,--,--,--,--,--,SI,--,--,--,50098073.0,"-33,07733306","-68,39828382"
SALTA,La Caldera,La Caldera,2186,--,--,--,SI,SI,SI,SI,SI,SI,66077010.0,"-24,60494862","-65,38233773"
SALTA,La Caldera,Vaqueros,4575,SI,--,--,SI,--,SI,SI,SI,SI,66077020.0,"-24,69452119","-65,40269442"
SALTA,La Candelaria,El Jardín,1221,--,--,--,SI,SI,--,SI,--,SI,66084010.0,"-26,09388342","-65,41384156"
SALTA,La Candelaria,El Tala,2632,--,--,--,SI,SI,SI,SI,SI,SI,66084020.0,"-26,12089176","-65,28730588"
SALTA,La Candelaria,La Candelaria,649,--,--,--,SI,--,--,SI,--,SI,66084030.0,"-26,09617901","-65,06101195"
SALTA,La Poma,Cobres,143,--,--,--,--,--,--,--,--,--,66091010.0,"-23,63919985","-66,26840397"
SALTA,La Poma,La Poma,614,--,--,--,SI,--,SI,--,--,--,66091020.0,"-24,71290105","-66,19973852"
SALTA,La Viña,Ampascachi,118,--,--,--,--,--,SI,--,--,--,66098010.0,"-25,35545551","-65,53230447"
SALTA,La Viña,Cabra Corral,27,--,--,--,--,--,SI,--,--,SI,66098020.0,"-25,29003671","-65,38778537"
SALTA,La Viña,Coronel Moldes,4116,SI,--,--,--,SI,SI,SI,SI,SI,66098030.0,"-25,28894047","-65,47453735"
SALTA,La Viña,La Viña,1825,--,--,--,SI,SI,SI,SI,--,SI,66098040.0,"-25,47197246","-65,57198389"
SALTA,La Viña,Talapampa,341,--,--,--,--,--,SI,--,--,--,66098050.0,"-25,54637463","-65,55967288"
SALTA,Los Andes,Olacapato,218,--,--,--,SI,SI,SI,SI,--,--,66105010.0,"-24,11977455","-66,7142594"
SALTA,Los Andes,San Antonio de los Cobres,4763,--,--,--,SI,SI,SI,SI,--,SI,66105020.0,"-24,209931","-66,315436"
SALTA,Los Andes,Santa Rosa de los Pastos Grandes,168,--,--,--,SI,SI,SI,--,--,--,66105030.0,"-24,47810578","-66,67854007"
SALTA,Los Andes,Tolar Grande,230,--,--,--,SI,SI,SI,SI,--,SI,66105040.0,"-24,55798519","-67,43696537"
SALTA,Metán,El Galpón,5675,SI,--,--,SI,SI,--,SI,SI,SI,66112010.0,"-25,39158645","-64,65950629"
SALTA,Metán,El Tunal,0,--,--,--,SI,SI,--,--,--,SI,66112020.0,"-25,26526458","-64,40610422"
SALTA,Metán,Lumbreras,297,--,--,--,SI,--,--,--,--,--,66112030.0,"-25,21725758","-64,93068615"
SALTA,Metán,Metán Viejo,377,--,--,--,SI,SI,--,--,--,SI,66112050.0,"-25,54180395","-64,98493851"
SALTA,Metán,Presa El Tunal,518,--,--,--,--,--,--,--,--,--,66112020.0,"-25,26526458","-64,40610422"
SALTA,Metán,Río Piedras,1420,SI,--,--,SI,SI,--,SI,SI,SI,66112070.0,"-25,32118188","-64,91732942"
SALTA,Metán,San José de Metán,28295,SI,--,--,SI,SI,--,SI,SI,SI,66112040.0,"-25,50772054","-64,98212454"
SALTA,Metán,San José de Orquera,155,--,--,--,SI,--,--,--,--,--,66112080.0,"-25,27830942","-64,08505616"
SALTA,Molinos,La Puerta,386,--,--,--,--,--,--,SI,--,--,66119010.0,"-25,28045381","-66,45083966"
SALTA,Molinos,Molinos,1183,SI,--,--,SI,--,SI,SI,--,SI,66119020.0,"-25,44424329","-66,30885009"
SALTA,Molinos,Seclantás,560,--,--,--,SI,SI,SI,SI,--,SI,66119030.0,"-25,33050996","-66,24844662"
SALTA,Orán,Aguas Blancas,2395,--,--,--,--,SI,SI,SI,--,SI,66126010.0,"-22,72456119","-64,34631922"
SALTA,Orán,Colonia Santa Rosa,15562,--,SI,--,--,SI,SI,SI,SI,SI,66126020.0,"-23,38859572","-64,42343332"
SALTA,Orán,El Tabacal,1143,--,--,--,SI,--,--,SI,--,SI,66126030.0,"-23,25002704","-64,24450589"
SANTA CRUZ,Deseado,Las Heras,17821,--,--,--,SI,SI,SI,--,SI,SI,78014060.0,"-46,54245538","-68,93417732"
SANTA CRUZ,Deseado,Pico Truncado,20889,--,--,--,SI,SI,SI,--,SI,SI,78014070.0,"-46,79389812","-67,95757049"
SANTA CRUZ,Deseado,Puerto Deseado,14183,SI,--,SI,--,SI,--,SI,SI,SI,78014080.0,"-47,75146493","-65,90120437"
SANTA CRUZ,Deseado,Tellier,58,--,--,--,--,SI,--,--,--,--,78014090.0,"-47,64876861","-66,04463568"
SANTA CRUZ,Güer Aike,28 de Noviembre,6145,--,--,--,SI,SI,SI,SI,SI,SI,78021060.0,"-51,57875815","-72,20804109"
SANTA CRUZ,Güer Aike,El Turbio (Est. Gobernador Mayer),55,--,--,--,--,SI,--,--,--,--,78021010.0,"-51,68053385","-72,08748607"
SANTA CRUZ,Güer Aike,Julia Dufour,293,--,--,--,--,--,--,--,--,SI,78021020.0,"-51,54061118","-72,23989673"
SANTA CRUZ,Güer Aike,Mina 3,27,--,--,--,--,SI,--,--,SI,--,78021030.0,"-51,54876605","-72,23339098"
SANTA CRUZ,Güer Aike,Río Gallegos,95796,--,SI,SI,SI,SI,--,SI,SI,SI,78021040.0,"-51,62143498","-69,22905093"
SANTA CRUZ,Güer Aike,Rospentek,677,--,--,--,--,--,--,SI,--,--,78021050.0,"-51,66393289","-72,14269883"
SANTA CRUZ,Güer Aike,Yacimientos Río Turbio,8814,--,--,--,--,SI,--,SI,SI,SI,78021070.0,"-51,53283837","-72,33410321"
SANTA CRUZ,Lago Argentino,El Calafate,16655,SI,--,--,SI,SI,SI,SI,SI,SI,78028010.0,"-50,33732085","-72,26199507"
SANTA FE,Las Colonias,Nuevo Torino,425,SI,--,--,--,--,SI,--,--,SI,82070160.0,"-31,34688238","-61,23572573"
SANTA FE,Las Colonias,Pilar,4705,SI,--,--,SI,--,SI,SI,SI,SI,82070170.0,"-31,44201582","-61,26002496"
SANTA FE,Las Colonias,Plaza Matilde,29,--,--,--,--,--,--,--,--,--,82070180.0,"-31,79748349","-61,01116782"
SANTA FE,Las Colonias,Progreso,2118,--,--,--,--,--,SI,SI,SI,SI,82070190.0,"-31,13976895","-60,99025416"
SANTA FE,Las Colonias,Providencia,663,--,--,--,--,--,SI,SI,--,SI,82070200.0,"-30,98458684","-61,02182815"
SANTA FE,Las Colonias,Sa Pereyra,1533,SI,--,--,--,--,SI,SI,--,--,82070210.0,"-31,5721514","-61,37822311"
SANTA FE,Las Colonias,San Agustín,630,--,--,--,--,--,SI,SI,SI,SI,82070220.0,"-31,68477789","-60,94131475"
SANTA FE,Las Colonias,San Carlos Centro,10717,SI,SI,--,SI,--,SI,SI,SI,SI,82070230.0,"-31,728418","-61,09139579"
SANTA FE,Las Colonias,San Carlos Norte,812,--,SI,--,SI,--,SI,SI,--,SI,82070240.0,"-31,67431058","-61,07625852"
SANTA FE,Las Colonias,San Carlos Sud,1927,SI,SI,--,SI,--,SI,SI,SI,SI,82070250.0,"-31,75759541","-61,1007515"
SANTA FE,Las Colonias,San Jerónimo del Sauce,742,--,--,--,SI,--,SI,SI,SI,SI,82070260.0,"-31,61121248","-61,14251807"
SANTA FE,Las Colonias,San Jerónimo Norte,5962,SI,--,--,SI,--,SI,SI,SI,SI,82070270.0,"-31,55453167","-61,07851415"
SANTA FE,Las Colonias,San Mariano,218,--,--,--,--,--,--,SI,--,--,82070280.0,"-31,67021059","-61,34802115"
CORDOBA,San Justo,Devoto,6057,SI,--,--,SI,--,--,SI,SI,SI,14140160.0,"-31,40398092","-62,30613939"
CORDOBA,San Justo,El Arañado,1746,--,SI,--,--,SI,SI,SI,SI,SI,14140170.0,"-31,74123307","-62,89334437"
CORDOBA,San Justo,El Fortín,1648,--,SI,--,--,--,SI,SI,SI,SI,14140180.0,"-31,96725024","-62,30262859"
CORDOBA,San Justo,El Fuertecito,297,--,--,--,--,--,SI,SI,--,SI,14140190.0,"-31,40393493","-62,97336577"
CORDOBA,San Justo,El Tío,1903,SI,SI,--,SI,--,--,SI,SI,SI,14140200.0,"-31,38454862","-62,82847376"
CORDOBA,San Justo,Estación Luxardo,105,--,--,--,--,--,SI,--,SI,SI,14140210.0,"-31,30474888","-62,13330234"
CORDOBA,San Justo,Freyre,6620,SI,SI,--,SI,--,SI,SI,SI,SI,14140220.0,"-31,16473193","-62,09763339"
CORDOBA,San Justo,La Francia,3720,SI,--,--,SI,--,SI,SI,SI,SI,14140230.0,"-31,40643792","-62,6343581"
CORDOBA,San Justo,La Paquita,947,SI,--,--,--,--,SI,--,--,SI,14140240.0,"-30,90705458","-62,21543618"
CORDOBA,San Justo,La Tordilla,1257,SI,--,--,--,--,SI,SI,SI,SI,14140250.0,"-31,23524522","-63,05990427"
